stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,211.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.39,130.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.64,10.57,0,10.59,0,0,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.5,13.43,0,0,43.42,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,5.73,0,0,37.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.58,5.32,0,0,115.3,0,0,0,42.45,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.33,10.13,2.03,5.54,0,0,0,4.17,2.04,0,0,0,0,0,0,0,9.55,0,0,7.85,131.13,2.04,0,0.88,1.9,0,6.07,11.41,2.67,0.86,17.86,41.52,0,0,2.11,0,0
 24-34,0,0,0,0.64,7.11,0,44.27,0,0.61,0,12.92,0.66,0.81,0.6,7.43,0,1.31,0.67,0.97,16.36,0,0.89,13.75,367.52,0.77,4.51,1.94,0,0,25.39,0,5.12,1.01,0.62,94.48,0,0,9.32,0,0
 36-46,0,0,0.73,0,0,1.12,85.8,0,0,0.61,13.22,0,0.68,0,0,0,0,0,0,22.13,1.37,0,6.87,191.81,1.95,0.64,1.83,0,0,26.36,0,0,0,0,62.41,0,0,3.32,0,0.81
 48-58,0,0,0,0,5.6,0,163.6,0,0,8.4,12.72,1.09,2.75,0.57,0,0.97,0.57,1.26,1,40.45,0,0.93,7.64,165.83,0.89,3.7,1.05,0,0,8.34,0,0,1.17,0,49.03,0,0,1.49,0,0
 60-70,0,0,0,0,13.6,1.86,217.57,1.44,1.25,0.89,21.91,6.17,0.79,5.34,0.93,0.72,0,0,0.86,54.13,0,3.45,1.6,133.53,0,2.28,2.78,0,0.84,8.79,0,1.06,0,0,16.4,0,0,8.46,0,1.56
 72-82,0,0,0.5,0,1.07,7.98,136.78,0,0,1.68,21.17,1.57,2.83,0,0,0,0.61,0,0,51.7,0,2.58,4.7,158.58,0.89,5.68,2.98,0,0,8.09,0,0,0,0,17.61,0.97,0.5,3.66,2.06,1.85
 84-94,0,0,0.8,0,10.39,12.32,73.26,0,0,0,17.68,2.03,1.18,0.63,0.91,1.28,0,0,4.37,54.66,3.42,8.61,3.02,81.02,2.69,5.33,0,0,0,17.14,0,0.58,0.69,0,8.24,0.78,0.75,7.7,1.01,1.05
 96-106,0,0,2.37,0,5.29,36.14,121.59,0,0,2.33,23.24,3.13,0,0,0,1.41,0.88,0,0,55.3,1.22,0,0.83,84.92,0,1.68,1.54,0,0,12.79,0,0,0,0,6.82,1.66,1.58,3.37,1.59,10.68
108-118,0,0,0,1.06,11.94,8.02,82.37,0.42,0,2.33,41.78,1.22,0,6.56,3.16,3.42,0,7.95,0,72.5,0,3.27,4.04,129.51,3.01,3.88,1.07,0,0,12.98,0,0,0.48,0,9.9,0,2.09,18.44,0,2.97
120,0,0,0,0,11.2,26.67,70.27,0,0,11.18,50.6,2.96,0,0,0,1.11,2.07,0,0,52.87,0,10.27,1.83,203.15,0,12.85,1.47,0,0,15.42,0,0,0,0,0,4.89,5.29,22.43,0,0
