stage,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.99,0,0,0,0,0,0,0,0,0
 10-12,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.86,0,0,0,0,0,0,0,0,0,0,0.85,0,0.91,6.99,0,0,0,2.95,0,5.46,0,0,0
 24-34,0.62,2.39,0,0,0.68,0,0,0,3.2,0,0,0,0,0.95,35.27,0,0,0,1.81,0.63,7.31,2.01,0,0
 36-46,0,15.75,0,0.93,0,0,0,0,0,1.07,0,1.54,0,0.63,72.39,0.89,12.16,0,0.63,0,7.47,0.75,0,4.08
 48-58,0,24.36,0,0.52,1.15,0.44,0,0,0,0,0,5.08,0,0,85.64,0,0.66,0,0.56,0,8.09,0,0,0
 60-70,0,41.25,0,4.83,0,0,0,0,0,0,0,5.26,0,0,90.87,0,0,0,0,0,0,0,0,0
 72-82,1.62,48.03,0,11.19,0,0,0,0,0,0,0.49,4.46,0,0,60.31,0,0,1.08,0,0,5.95,0,0,0
 84-94,1.02,22.84,1.81,0.59,0,0,0,0.6,0,0,0,7.66,0,0,51.7,0,0,0,0,0.67,2.87,0.75,3.59,0
 96-106,1.32,12.13,0,0,0,0,0,0,0,0,0,6.19,0,0,36.28,0,0,0,0,0.67,0.57,8.22,0,3.81
108-118,2.06,9.5,0,1.46,0.53,2.36,0,0,0,0,0,8.68,3.04,0,27.97,0.47,0,0,0.58,0,0,7.41,0,0
120,0,3.17,0,3.48,0,0,4.03,0,0,0,0,14.86,2.22,0,35.53,0,0,0,0,0,0,0,0,4.77
