stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,24.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0,0,0,0,0,0,0
  7-9,4.21,0,0,0,0,9.39,0,0,0,0,3.69,0,0,0,0,0,0,0,0,47.53,0,0,0,14.74,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,17.16,0,0,0,5.68,0,5.62,0,0,0,0,0,0
 14-21,0,0,1.54,6.63,0.9,3.44,0,0,2.21,0.85,0,0,0,0,0,9.1,0,0,0.89,30.02,0,0,0.86,0.86,0,0,3.08,7.28,20.31,0,0,0
 24-34,0,0,0,19.08,0,4.35,0,0,0,3.49,0,1.37,0,0,0,11.32,0,0,2.33,48.83,10.07,0,2.48,0,0,0,1.95,0,12.28,0,0,0
 36-46,0,0,0,19.78,0,2.96,0,0,3.59,0,0,0,0,0.86,0,9.15,0,0,2.28,37.93,0.56,0,8.88,0,0,0,0,0,9.26,0,0,0
 48-58,0,0,0,13.98,0,3.8,0,0.41,6.13,0,0,0,0,0,0,8.17,1.08,0,0.54,22.4,0.45,0,3.39,0,0,0,0,0,2.26,0,0,0
 60-70,0,0,0,31.22,0,2.57,6.87,0.86,3.75,0,0,0,0,0,0,6.05,0,0,0,19.95,0,0,3,0,0,0,0,0,0,26.81,0,0
 72-82,0,0,0,19.76,1.81,3.94,1.33,0,2.08,1.71,0,0.51,0,0,0,22.79,0,0,1.48,8.54,0,1.51,6.89,0,0,0,0,0,0,76.45,1.31,5.85
 84-94,0.62,0,0,49.45,0,8.69,0,0.75,2.78,10.46,0,0,0.82,0,0,6.21,0,2.99,0,0.71,0,2.71,2.9,0,0,0,0,0,0.98,241.89,0,0
 96-106,0,0,0,37.33,2.43,0,0,0,8.19,2.22,0,0,0,0,0,10.39,0,0,0,14.91,0.58,0,4.85,0,0,0,0,0,0,77.69,0,0
108-118,0,0,0,30.26,0,0.57,0,3.79,2.24,3.57,0,0,0.63,1.13,0,10.09,0,0,0,8.42,0,1.1,10.4,0,1.72,0,0,0,0,99.24,3.39,0
120,0,0,0,23.34,0,0,0,0,0,4.49,0,0,5.57,0,1.84,0,0,9.16,1.13,4.85,0,0,0,0,0,0,0,0,0,25.78,0,0
