stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,3.52,24.5,0,2.77,0,0,0,0,0,0,0.92,0,0,0,0,0,0,88.56,0,0,76.65,38.64,0.95,0,0.91,0,0,3.65,0,4.65,0,0,10.01,4.52,0,0,32.28,0,0
 24-34,4.02,0,0,34.98,5.83,0,11.17,0,0,8.7,0.7,0,0.67,11.93,0,0,3.34,3.41,0,0.64,814.08,0,5.74,340.01,204.5,1.2,0,9.27,0,4.81,0.68,0,0,0,0.65,1.91,20.36,0,0,225.27,0,2.31
 36-46,0,0,0,32.78,0.81,0,8.65,0,8.41,52.42,4.72,0,0,27.06,0,0,8.38,5.11,0,3.8,1277.11,0,23.63,364.17,286.7,0,2.44,7.89,0,2.47,0,0.65,1.71,0.62,0,0,14.38,0,1.67,176.36,1.55,2.92
 48-58,2.3,0,0,6.95,0.64,0,41.07,1.2,16.49,121.05,10.46,0,0.94,28.88,0.53,0,4.99,5.62,6.66,0,1633.94,0.37,53.75,320.28,258.57,0,1.2,5.05,0,6.92,0,0,0,0,0,0,18.39,0,8.2,128.97,4.41,3.19
 60-70,0,0,0,16.67,0,0,42.71,0.6,2.29,130.25,39.29,0,1.77,65.76,15.33,0,17.81,2.72,11.57,0,2388.27,0,78.54,256.54,205.56,0,0,17.69,0,46.03,0,0,0,2.55,3.95,0,24.66,0,41.63,229.24,28.81,1.61
 72-82,0,0,0,24.51,2.33,0,141.64,2.31,18.79,261.05,96.08,2.2,2.05,75.42,0.94,0.63,33.46,5.44,1.74,0,3594.15,1.01,150.27,349.04,344.54,0,4.96,14.96,0,80.92,5.22,0,0,0.49,0,0,7.2,6.92,65.2,360.97,88.19,4.09
 84-94,0,0,2.08,41.98,8.87,0,140.34,0.87,20.73,189.51,62.95,0.69,1.46,76.57,11.92,0.72,58.92,6.47,0,0,2736.03,5.78,153.44,245.09,264.55,0,3.3,13.82,0,60.5,9.15,0,0,1.78,0,0,11.62,1.01,101.39,351.33,97.46,0
 96-106,1.12,0,0,71.01,1.02,0,174.88,0.64,54.25,238.81,178.92,9.49,0,118.19,12.52,0.63,56.13,13.75,15.22,0.94,3926.89,10.17,144.08,321.33,435.22,2.75,23.48,77.81,0,146.53,5.99,0,0,6.76,0,0,17.6,0,91.28,422.91,149.67,7.02
108-118,6.03,0,2.18,65.34,2.13,1,147.09,0,57.06,186.74,153.5,9.29,0,60.27,11.13,1.81,94.12,2.96,8.03,0.68,5047.95,5.4,156.01,302.4,479.53,0.9,1.67,99.52,0,215.72,4.66,0,0,10.73,0,0,11.36,0,67.74,399.72,155.12,1.91
120,0,3.29,0,78.4,0,8.65,137,0,28.4,186.63,119.61,3.73,0,90.2,4.82,5.57,71.98,3.53,9.27,0,4478.41,1.46,285.63,332.33,496.28,30.08,5.96,130.86,10.96,202.56,23.92,0,0,0,0,0,11.36,0,69.37,513.43,192.61,0
