stage,blastomeres,endocrine.pancreas,endoderm,eye,glial,gut,hatching.gland,liver,melanocytes,mesenchyme,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,16.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.37,0,0,0,0,0,0,0,6.33,0,9.64,17.15,0
 10-12,0,0,0,3.4,0,0,4.01,0,0,0,26.42,0,11.51,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.65,0,0,0,5.74,0
 24-34,0,0,0,0,0,0,0,0,0.9,1.61,1.42,0,0,0,2.42
 36-46,0,0,0,0.63,0,0,0,0,0,0,3.05,0,0,2.21,1.82
 48-58,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0
 60-70,0,0,0,0,0.8,0,0,0,0,0,1.57,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.53,0.97,0,0.6,0
 84-94,0,1.11,0,0.78,0,6.14,0,6.31,0.91,1.41,0,0.57,0,0,0
 96-106,0,1.14,0,0,0,2.18,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.39,0,0.52,1.02,2.36,2.81,0,0,0,0
120,0,0,0,0,0,8.02,0,0,0,7.55,2.91,0,0,0,0
