stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,hatching_gland,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,pericytes,spinal_cord
  3-4,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,68.76,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,0,0,0,0,0,8.13,0,0,25.15,0,11.22,0,0
 10-12,0,0,0,0,3.76,0,0,0,0,38.01,0,3.94,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
 48-58,0,0,0,0,2.34,0,0,0,0,0,0,0,0,0.56
 60-70,0,0,0,0,53.89,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.54,251.54,2.71,0,0,0,6,0,0,1.4,0
 84-94,0,0,1.65,0,167.81,3.66,0,0.61,0,3.02,0,0,0,0
 96-106,0,0,0,0,129,0.71,0,0,0,0,0,0,0,0
108-118,0,0,0,0,178.6,3.55,0,0.51,1.5,0,0,0,0,0
120,0,0,0,0,67.54,0,0,0,0,0,0,0,0,0
