stage,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,xanthophores
 14-21,2.37,0,0.99,0,0,0,0,1.21,0,0,9.19,7.83,0,0,3.87,3.01,4.54,0.98,0
 24-34,0,0,0,0.93,0,0,0,0.97,0,1.05,3.62,1.89,2.24,0,1.62,1.34,1.94,3.54,0
 36-46,0,0,0,0,0,0,0,0,1.99,0.61,2.43,0,0,0,3.5,0,0,1.28,4.96
 48-58,0,0,1,0,1.01,0,0,1.52,0,0.61,2.25,0,0,7.9,5.32,0,0,1.12,0
 60-70,0,0,5.22,0.63,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0
 72-82,0,0,10.62,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0
 84-94,0,0,0.92,0,0,0.89,0.71,0.57,0,0,1.67,0,0,0,1.73,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.32,0,0,1.41,0,0,0,3.36,0,0,0,0
108-118,0,0.59,1.2,0,8.3,0,0,0,0,1.07,4.29,0,0,0,3.25,0,0,0,0
120,3.06,0,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0,0,0,0
