stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,visceral.smooth.muscle
 14-21,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,28.97,0,0,0,1.58,12.07,0
 24-34,0.71,0,0,0,2.07,0,0,0,0,0,0,0,0,0.66,77.8,0,0.74,0,0,16.58,0
 36-46,0,0,0,0,7.66,0,3.63,0,0.65,0,3.34,0,0,0,304.28,0,7.02,5.53,0,32.81,0
 48-58,0,0,0,0,40.83,0,1.97,0,0,0,0,0,0,0,433.21,0,3.86,0,0,59.66,0
 60-70,0.89,0,0,0,137.08,0,0.57,0,0,0,0,0,0,0,603.22,0,1.42,5.65,3.12,67.6,0
 72-82,1.09,4.82,0.49,0,296.14,0,11.14,0.99,0,0.57,0,6.88,0,0.8,620.42,0,7.54,3.77,0,61.28,0
 84-94,4.3,0,0,0,200.9,0,7.07,0,0,0,0.83,1.21,4.57,1.01,383.16,0.65,4.64,2.26,0,15.3,1.66
 96-106,6.92,5.62,4.88,0,368.8,0,4.4,1.09,0,0,0.71,1.05,0,0,482.73,0,7.01,3.32,0,14.05,0
108-118,1.11,6.07,0,0,284.16,0,5.52,1.36,0,0,0,3.39,0,0,442.19,0,5.01,4.08,0,16.82,0
120,4.41,1.09,0,14.01,114.01,10.7,30.04,0,0,0,0,1.57,0,3.67,540.56,0,5.42,1.66,0,12.77,0
