stage,blastomeres,erythrocytes,eye,fin_epithelia,immune,mesenchyme,neural,periderm,vasculature
  3-4,11.02,0,0,0,0,0,0,0,0
  5-6,7.53,0,0,0,0,0,0,9.25,0
  7-9,0,0,0,0,0,0,25.83,0,0
 10-12,0,0,0,0,0,0,10.41,5.16,0
 14-21,0,0,0,0,0,0,0,3.11,0
 24-34,0,0,0,0,8.19,0,0,1.66,0
 36-46,0,0,1.21,0,23.11,0,0,0.58,0.56
 48-58,0,0,0,1.45,18.54,3.3,1.45,2.49,0.43
 60-70,0,0,0,0,29,0,0,8.32,0
 72-82,0,0,0,0,17.98,1.69,0.82,0,1.08
 84-94,0,10.39,0,0,45.2,0,0,3.18,1.18
 96-106,0,0,0.82,0,35.92,0,0,0,0.58
108-118,0,0,0,0,32.4,0,1.32,4.29,0.86
120,0,0,0,0,63.9,0,0,0,1.26
