stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,34.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0
  5-6,0,28.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.56,3.78,0,0,3.68,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,13.69,0,0,0,0,0,11.54,0,0,0,0,0,0,138.72,15.93,0,0,25.9,0,10.04,0,0,0,0,0,0
 14-21,0,0,0,1.33,13.12,4.39,2.13,0,0,0,98.99,0.97,0,0,0,0,5.09,0,0,129.78,0,4.54,12.21,4.28,0,51.65,0,1.25,231.48,0,0,0
 24-34,0,0,0,1.17,3.57,0,1.19,0,0.62,0,78.09,0,0,0,0,0,5.13,0,0,99.68,0.67,20.69,2.75,0,0,17.02,0,1.27,184.17,0,4.55,0
 36-46,0,0,0,0,8.11,0,5.55,0.68,0,0,49.66,0,0,0,18.07,3.34,1.36,0,2.91,150.08,0,12.78,2.26,0,0,15.2,0,0,123.11,0,2.04,3.6
 48-58,0,0,0,0,0.54,0,19.47,0,0,0.4,42.89,0,0,0,0,0.48,2.29,0,0,94.57,0,5.86,5.17,0,0,1.68,0,0,80.54,0,0,0
 60-70,0,0,0,0,0.68,0,77.81,0,0,0,23.5,0,0,0,0,1.41,3.41,0,0,135.14,1.87,15.2,6.3,0,0,10.76,0,0,49.19,0.8,0,0
 72-82,0,0,0.83,0,1.66,0,78.26,0,2.2,0,27.94,1.42,0,0,0,0,5.41,0,3.98,77.85,0,23.45,5.2,0,0,0,0,0,45.7,0,2,0
 84-94,0,0,0.84,0,2.89,0,76.4,0,0,0,23.28,0,0,0,2.06,2.48,1.18,0,2.01,26.91,0,14.31,7.5,0,1.29,3.95,0,0,25.71,0,0,0
 96-106,0,0,0,0,8.69,0,28.57,0,0.84,0,18.61,0,0,0.64,0,11.66,4.62,0,0,20.99,0,16.85,8.49,0,0,1.91,0.62,0,10.86,1.93,2.2,0
108-118,0,0,0,2.13,2.45,0,37.75,0,1.14,0,14.86,0.74,0,0,0,3.11,10.79,0.74,0,80.23,0,22.89,23.56,0,0,1.85,0.67,0,24.15,0,0,0
120,0,0,0,0,4.61,0,39.93,0,0,1.47,25.38,0,0,0,1.77,7.35,14.69,0,0,37.73,0,14.56,15.83,0,0,3.93,0,0,7.28,0,0,0
