stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0
 24-34,0.63,2,0,0,0,0,0,0.97,0,0.65,2.01,0,0,0,5.81,0
 36-46,2.69,0,1.53,0,0,6.06,0,1.44,0,0.95,0.99,0,0,0,3.47,0
 48-58,6.09,1,1.77,0,0,0,0.9,1.39,0,0,1.52,0,0,0,4.36,0
 60-70,1.13,0,0,0,0,0,0.7,4.39,0,0,5.41,0,0.78,0,5.1,0
 72-82,1.61,4.78,2.5,4.39,0,9.52,0.67,9.69,0.58,2.53,4.35,0,0,0,0,0
 84-94,2.14,0.9,1.24,3.69,0,3.28,0,9.67,0,1.74,11.73,0.75,0,0,5.55,1.23
 96-106,5.81,1.39,0.63,16.7,0,11.73,2.7,5.47,0,6.36,10.18,1.3,0,3.19,6.31,0
108-118,0,0.81,2.63,24.45,1.49,9.9,0,5.42,0,0,9.22,0.87,0,1.7,0.42,0
120,0,11.18,0,66.14,3.42,3.6,0,2.83,0,0,3.98,0,0,0,1.12,0
