stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,174.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.72,0,0,0,0,0,0,0,0,0,0
  5-6,85.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.19,5.61,0,0,3.39,0,0,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.21,4.59,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.4,0.83,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,0,0.94,45.8,3.86,0,2.4,0,0,4.14,0,2.89,0,0,10.3,0,0,0,0,0
 24-34,0,0,0.59,8.58,0,0,79.09,0,0,0,0.86,0,0,0.76,0,0,0,0,4.33,1.69,12.52,0,0,4.81,401.32,1.62,2.1,1.28,0,0,15.48,0,2.03,0.83,1.41,60.29,0,0,21.98,0,0
 36-46,0,0,0,9.1,0,0,42.91,0,0,0.73,0,0,0,1.26,0,8.67,0,0,0,0,15.27,0,0,1.52,652.63,1.07,0,0.57,0,0,14.5,0,0.59,0,0,89.58,0,0,3.12,0,7.58
 48-58,0,0,0,4.54,0,0,55.22,8.29,0,0.86,3.96,0,0,0.58,0,0,0,2.43,6.49,0,15.22,0,0.39,6.58,849.9,0.41,0,1.4,0,0,9.77,0,2.22,0.46,0,63.5,0,0,0,0,1.85
 60-70,0,0,0,1.72,0,0,179.4,1.28,7.46,0,16.55,0.64,0,0.9,0.76,0,0,0,8.8,0,39.81,0,0,4.03,1913.44,1.24,2.36,1.46,0,0,2.82,0,2.06,2.29,0,74,0,0,0.73,0,3.23
 72-82,0,1.09,0,25.99,0.98,0,451.95,0,1.28,0.73,40.91,1.56,0,3.96,0,0,10.82,0.76,7.38,0,56.65,0,0,4.14,2156.16,0,1.03,1.97,0,0,23.38,0,1.23,9.96,0,95.07,0,0,7.57,2.14,14.27
 84-94,0,1.48,0,4.67,2.33,0,369.25,0,0,0.69,23.82,0.91,0.66,0.85,0.62,0,1.75,0.66,0,0,44.7,0,1.4,9.94,1689.58,0.67,1.04,0.69,0,3.87,13.96,0,1.24,0.59,0,79.3,2.47,2.87,1.78,14.4,9.97
 96-106,0,0,0,12.58,0,1.07,504.28,4.29,0,0.64,43.34,0,0,1.45,1.08,0,0,0.61,5.46,0,54.56,1.69,1.88,5.39,1416.43,2.25,0.75,1.55,0,0,5.6,0,0,0,0,46.38,0.88,0,1.26,3.01,9.75
108-118,0,1.13,0.74,10.19,5.15,3.08,577.68,0,5.31,1.28,39.86,4.78,0,2.29,2.59,0.77,0.64,0.43,3.66,0,58.49,0,1.67,1.69,2056.93,0.89,4.72,1.3,0,6.2,6.24,0,0,0,0,35.74,0,0.75,7.16,2.37,2.09
120,0,0,0,15.64,3.7,0,711.72,0,0,0,203.27,0,0,0,20.11,0,0,0,33.11,1.51,42.72,0,0,9.78,3636.24,2.7,14.01,0,0,3.68,7.53,0,0,0,0,33.84,0,0,6.45,9.52,0
