stage,epidermis,eye,fast_muscle,fin_epithelia,glial,melanocytes,mesenchyme,muscle,neural,notochord,periderm,slow_muscle,somites,vasculature
 14-21,0,0,0,0,0,0,0,0,1.2,0,0,0,1.04,0
 24-34,0.79,0,0,2.1,0,0,0,0,4.5,0.6,0.6,0,0,0
 36-46,0,0.57,0,0,1.42,0,0.65,1.8,11.79,0,0,0,0,0
 48-58,0,3.2,0,0,0,0,1.48,1.6,6.19,0,0,1.01,0,0
 60-70,0,4.51,0,2.9,1.18,0,0.84,0,2.5,0,1.33,0,0,0
 72-82,0,0,0,0,0,0,0.96,0,2.31,0,0,0,0,0
 84-94,0,9.48,0,0,0,0,1.16,0,1.03,0,0.76,0,0,0
 96-106,0,0,1.45,0,0,0,2.94,0,0,0,0,0,0,0
108-118,0.83,5.96,0,0,1.75,0.78,5.7,0,0,0,0.41,0,0,0.48
120,1.91,0,0,0,4.13,0,0,0,4.22,0,0,0,0,0
