stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,40.98,975.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.03,0,0,0,0,0,0,0,0
  5-6,54.63,213.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,8.08,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,8.26,0,0,11.33,0,0,4.8,0,0,0,0,0,0,0
 14-21,0,0,0,0,20.07,10.28,0,0,0,0,1.94,0,2.04,54.1,0,0,0,1.52,0,0,0.84,82.53,0.91,0,0,0,0,0,0,0,18.72,0,0,1.41,0,0
 24-34,0,0,0,0,78.67,0.74,0,9.7,0,0,0,0,9.37,62.38,0,0,0,14.68,0,0,2.11,42.8,8.02,0,0,0,0,0,0,0,7.18,0,0,87.78,0,0
 36-46,0,0,0,0,95.47,0,0,19.78,0,0,18.74,0,3.97,74.75,0,0,0,13.53,0,0.55,3.42,34.6,20.58,0,0,0,0,1.43,0,0,3.33,0,0,74.66,0.78,0
 48-58,0,0,0,0,61.76,10.39,0,158.4,0,4,1.96,0,2.21,68.8,0,0.38,1.95,42.97,3.07,1.02,0.75,84.67,0.56,0,0,0,0,0,0,0,1.71,0,0.61,53.27,0.65,0
 60-70,0,0,0.57,0,163.24,0,0,930.7,0,8.65,15.81,0,0,113.11,0,0,0,222.57,4.33,9.1,3.59,191.52,19.16,0,1.12,0,0,3.79,0,0,6.31,0,19.8,57.61,3,3.97
 72-82,0,0,0,0,146.45,1.25,0,1488.67,7.41,3.56,12.57,0,2.47,78.25,0,2.1,0,371.84,4.44,10.02,1.66,248.7,3.77,0,1.91,0,5.42,2.13,0,0,8.03,0.71,33.05,93.13,15.66,0
 84-94,0,0,1.27,0,550.47,14.8,0,1291.32,0,20.75,13.36,0.75,0,139.58,1.35,10.79,0.83,464.86,7.15,14.15,7.27,160.13,3.24,0,0.81,0,16.63,8.69,0,1.83,8.8,0,60.51,80.63,23.63,8.19
 96-106,0,0,0,0,401.11,20.44,0,1577.32,0,19.06,36.96,3.43,0.73,134.52,1.72,2.94,0,308.44,3.26,17.5,1.46,182.11,6.28,1.73,3.34,0,4.1,1.69,0,0,9.35,0.68,41.48,113.2,30.03,0
108-118,0,0,0.41,0,472.13,2.51,0.74,1815.65,0,17.12,51.11,4.35,3.23,130.72,0,5.8,0.5,308.29,3.25,17.72,0.48,203.22,4.68,0.6,3.9,0,6.86,3.03,0,0.84,3.89,0,32.5,101.33,22.95,1.68
120,0,0,0,0,381.55,1.9,0,953.16,0,17.53,15.96,5.32,0,194.36,1.17,0,0,366.64,5.17,1.83,2.53,253.4,17.97,0,9.04,0,22.67,1.41,0,0,17.33,0,40.75,126.64,17.98,0
