stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle
  5-6,19.01,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.95,0,0,0,42.46,0,0,0,0,0
 14-21,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,1.13,0,1.58,5.89,0,0,0,0,0,0.83,1.91,0,0
 24-34,0,0,0,0.6,0,1.87,0,0,0,0,0,0.6,0,0,0,0,2.75,15.08,0,0,0,0,0,0,11.21,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,2.87,0,0,0,0,0,0,1.03,0,0
 48-58,0,0,0,5.82,0,0.54,0,0,0,0,0,0.75,0,0,0.85,0,0,2.42,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,15.59,0,1.97,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,5.9,0,2.13,0,0.74,2.69,6.83,1.97,17.17,1.9,0,4.85,0,0,31.88,0,0,0,0,0,0,1.6,9.47,0
 84-94,0,0,0,20.05,0,0,0,0,0,79.77,0,13.72,0,0,0,0,0,6.05,0,0,0,0,0,0,0,19.59,0
 96-106,0,0,0,157.74,3.63,3.46,0.56,0,0.97,237.69,0,34.5,0,2.28,0.73,6.73,0,37.96,0,2.74,1.13,0,0,0,2.2,61.01,1.58
108-118,0,0,0,363.36,1.51,4.1,0,0,1.42,314.01,0,17.38,0,0,0.53,0,0,33.44,0.48,0,1.48,0,0.53,0,0,94.4,0
120,0,0,0,19.43,5.9,8.64,1.44,0,0,96.81,0,16.45,0,7.86,0,5.92,0,3.41,0,0,0,0,0,0,2.14,124.52,0
