stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  5-6,6.98,94.18,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
  7-9,0,6.43,0,0,13.83,3.76,0,0,173.65,9.48,51.68,0,0,0,0,0,0
 10-12,0,0,12.28,0,18.57,0,0,0,118.48,0,27.13,0,0,9.68,0,0,0
 14-21,0,0,0,1.04,1.13,0,0,0.82,8.5,0,0,0,3.41,0,2.72,0,0
 24-34,0,0,0,0,0,0,1.12,0,8.58,0,0,0,0,0,0,0.65,0
 36-46,0,0,0,0,0,0,0,0,1.88,0,0,1.66,0,0,0,0,0
 48-58,0,0,0,0,2.49,0,0.39,0,6.48,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.41,0,0,0,0,3.32,0,0,0,0,0,0,0,1.11
 72-82,0,0,0,0,0,0,0.49,0,0,0,0,1.08,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0
