stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.05,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,1.36,2.64,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.53,0,0,0,0,0,0.76,0,0,0,0,0,6.2,0,0,18.44,0,0.9,0,0,0,0,3.83,0,0,0,0,0
 36-46,0,0,2.94,0,0,2.82,0,0,0,0,0,0,0,0,0,2.05,41.57,0,0,31.39,0,0,0,0,0,0,46.19,3.23,0,0,0,4.81
 48-58,0,0,0,0,5.57,6.81,0,0,0.7,0,0,0,0,0,0,10.71,16.41,0.75,3.22,17.16,0,0,3.36,0,0,6.66,20.67,1.34,0,0,0,0
 60-70,0,0,0,0,25.5,31.14,0,0,15.4,1.72,0,2.42,0,0,0,24.47,28.87,1.04,12.44,35.18,0,0,1.92,0.81,0,0,23.17,16.9,0,0,0,0
 72-82,0,0,3.35,0.84,15.7,58.75,0,0,74.34,0,0,0,0,0,0.49,17.1,18.9,5.19,4.89,33.74,0,3.73,2.12,0,3.5,5.03,20.03,0.86,0,0,0,0
 84-94,0,1.05,0,4.24,23.32,105.49,0,0.83,60.02,0,0,2.56,0,1.6,0,29.31,32.66,7.68,6.26,51.02,0.65,0,0.91,0,0,10.28,40.94,0,0,2.83,0,8.25
 96-106,0,0,6.8,31.28,55.17,151.61,0,0,200.56,3.68,1.82,0,0.98,0,3.86,13.7,34.48,8.57,14.13,57.73,0,0,0,0,0,6.61,35.93,0.97,1.87,0,0.81,10.6
108-118,0,0,1.62,8.72,67.82,118.98,2.01,0,158.06,0.61,0.74,1.72,0.84,0.55,6.87,16.66,24.29,5.19,23.21,52.63,0,0,5.25,0,0.76,1.4,40.67,0,0,2.01,0.73,9.86
120,0,0,3.35,0,21.8,93.87,0,0,128.51,0,0,0,0,0,3.99,0,30.11,0,8.81,50.03,0,0,0,0,0,0,20.63,0,0,0,0,0
