stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0.9,6.06,0,0,0,0,0,0,0,1.71,0,0,0,0,0
 24-34,0,0,5.48,0,3.53,0,0,0,0,0,0,0,0,0.83,0,0,8.12,0,9.47,0,0,1.89,85.93,0,1.42,0.78,0,4.37,0.88,0.67,24.24,0,0,6.93,0,0
 36-46,0,0,0.89,0,20.35,1.86,0,0.93,5.81,0,0,0.87,0,0,0,0,0,0,7.03,0,0,4.2,168.81,0,2.56,0,0,13.02,0,0,51.15,0,0,1.9,0,0.85
 48-58,0,0,6.97,0,24.97,0,0,0,9.09,0,0,0,0,4.94,0.4,0,0,0,9.28,0,0,1.32,188.53,0,0.76,0,0,5.19,0,0,25.95,0,0,6.36,0,0
 60-70,0,0,5.52,1.8,86.35,0,0,0.78,6.59,0,0,0,5.21,0,0,0,0,0,10.92,1.02,0,1.7,198.67,2.21,2.16,0,0,6.89,1.68,0,63.08,0,0,1.48,0,1.05
 72-82,0,0.87,2.24,34.28,161.2,16.14,0,2.04,14.35,0,1.02,0.89,0.83,0,0,0,0,0,35.52,1.47,2.09,2.12,193.11,0,0.53,0,1.31,5.56,0,0,43.29,0,3.36,6.16,0,0
 84-94,0,0,3.66,35.01,154.22,0,0,2.89,17.22,2.56,0,0,2.3,1.24,1.42,0.83,0,0,46.79,0,0.58,0,204.93,0,3.44,2.14,0,31.08,0,0,40.06,0.62,1.11,1.35,3.5,2.75
 96-106,0,0,1.3,33.25,169.05,0,0,1.57,33.29,2.8,0,3.93,4.15,0.77,0.75,0.65,3.85,0,45.36,1.24,0.75,1.26,118.73,0,0,5.08,1.28,7.88,0.87,0,5.71,0,0,3.28,0,0.8
108-118,0,0,10.07,6.2,196.7,0.64,2.21,0,25.36,5.58,0,0.83,9.99,0.64,2.91,2.31,0,8.55,70.5,6.39,0,1.43,321.3,0,1.35,1.37,10.69,16.01,0,0,31.54,0.52,1.18,5.84,2.72,11.99
120,0,0,4.3,7.86,112.26,0,0,4.82,28.01,2.48,0,0,4.3,0,3.86,0,0,0,64.96,0,8.42,0,276.77,0,0,19.95,0,8.21,0,0,19.14,0,0,27.94,0,0
