stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.96,600.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72,0,0,0,0,0,0,0,0,0
  5-6,0,212.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.9,0,4.49,0,0,6.89,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,57.56,28.4,0,0,32.27,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.12,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.23,44.56,0,0,76.34,0,0,11.59,0,14.15,0,0,0,0,0,0
 14-21,0,0,0.93,26.82,42.12,4.81,0.87,0,2.21,0.85,0,4.07,0,0,0,0,0,0,30.1,0,0,17.2,42.84,8.63,0,0,0.82,0,0,0,12.81,0.99,7.99,20.75,0,59.27,0,0
 24-34,0,0,0,3.17,13.68,7.24,0,1.88,5.24,0,0,22.41,1.02,0,0,0,2.61,3.61,152.53,0.74,0,54.9,79.34,8.85,0,0,0,0,1.12,0,0,4.91,5.3,33.77,0,331.8,0,10.81
 36-46,0,0,0,0,0,6.9,1.24,27.52,5.77,0,0,1.98,4.06,0,0.94,0,0,1.33,219.04,0,0,56.22,23.37,12.16,2.08,0,0,0,0,0,0,18.82,0,15.75,0,244.69,0,3.48
 48-58,0.58,0,0,4.68,7.12,8.23,0.49,39.76,7.75,0,0,5.04,8.53,0,1.05,0,0,4.68,238.84,0,4.62,54.56,49.42,3.73,0,1.55,0,0,0,0,0,10.21,0,9.18,0.64,201.84,0,10.71
 60-70,0,0,0,7.66,0,10.78,4.5,26.34,5.16,0,0,1.53,8.55,0,0.71,0,1.2,0,323.96,0,4.02,31.02,39.44,0,0,0.65,0,7.48,0,0,0,8.91,0,1.26,6.38,142.28,0.64,0
 72-82,0,0,0,3.52,0,20.24,0.58,39.15,17.91,1.2,0,10.45,8.05,0,0,0,0,2.05,586.12,0,14.89,43.86,38.92,1.91,0,0.56,0,1.81,0,0,0,7.8,0,4.38,14,234.52,5.37,7.59
 84-94,0,0,0,4.32,0,29.03,6.15,27.94,16.13,1.75,0,11.3,26.9,0,8.78,0,0,9.01,394.08,0,14.44,22.14,11.64,0,0,9.09,0,8.05,0.67,0,0,26.29,0,1.8,14.42,250.61,7,0.69
 96-106,0,0,0,3.72,0.72,21.35,1.24,24.46,11.85,4.33,0,6.78,23.78,0.81,16.26,3.56,0,4.46,487.92,0,22.55,30.85,38,2,2.3,3.43,0,18.57,1.45,0,0,30.95,0,6.48,6.69,258.55,7.73,9.42
108-118,0,0,0.74,5.06,2.87,15.27,3.13,28.45,11.94,9.28,0,4.65,24.59,0.43,6.47,0,1.26,18.76,538.72,0,12.15,19.27,30.11,2.43,0,1.7,0,23.46,0,0,0,14.33,0,0,8.77,202.23,19.91,13.96
120,0,0,0,8.52,0,20.87,1.01,11.5,0,8.97,0,0,17.42,0,8.54,0,0,11.03,380.9,1.56,28.58,16.44,49.55,2.24,0,0,0,0,0,0,0,10.5,0,0,16.36,156.64,0,0
