stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.32,464.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.87,0,0,0,0,0,0,0,0,0
  5-6,0,204.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.49,5.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,33.74,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.28,0,0,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,98.92,7.35,0,0,23.68,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.6,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,19.81,0,0,0,0,0,0.9,10.2,0,4.82,10.17,0,0,0,0
 24-34,0,0,0,0,0,2.82,0,0,0,0,0,0.69,0,0,0,0,0,4.03,5.7,28.97,0,2.43,1.37,0,0,0,0,0,0.63,22.09,0,1.66,0,0
 36-46,0,0,0,4.29,0,2.44,0,0,0,2.44,0,0,0,0,0,0,0.7,2.97,0,36.04,0,0,0,0,0,0,0,0,0,0.96,0,1.04,0,0
 48-58,0,0,0,0,0,4.1,0.62,0,0,3.27,0,0,0,0,0.4,0,0,4.5,0,13.83,4.25,0,0,0,0,0,0,0,0,2.97,0,0,0,0.62
 60-70,0,0,0,0,0,23.15,0,0,1.62,0,0,0,0,0,0,0,0,8.31,0,5.4,0,0,0,0,0,0,0,1.39,0,4.27,0,0,0,0
 72-82,0,0,0,0,0,12.99,0,0,0,7.49,0,0,0,5.57,0,0,0,12.67,0.64,8.92,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0
 84-94,0,0,0,2.3,0,7.22,0,0.56,0,0.58,0,0,1.68,0,0,1.22,0,9.81,1.49,7.03,0,0,1.09,0,0,0,0,0,0,0.66,2,0,0,0
 96-106,0,0,0,1.52,0,7.38,0,0,0,2.99,0,0.66,0,0,0,0,0,7.86,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0.93,2.17,0
108-118,0,0,0,0,0,7.94,0,0,0,2.11,0,0,0,1.56,0,0,0,22.25,1.82,15.61,0,0.47,0,0,0,0,0,0,0,0,0,0.85,0,4.34
120,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,18.59,0,10.56,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0
