stage,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,neural,otic,periderm,pgc,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,7.49,0,0,0,0,0
  7-9,7.81,0,0,0,0,0,0,4.93,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.14,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.9,0,0
 24-34,0,0,0,0,0,1.44,0,0.91,0,0.7,0,0,0
 36-46,0,0,0,0,0,1.78,0,0,0,1.49,0,0,7.63
 48-58,0,0,0,0,0,22.22,0,0,0,5.63,0,0,0
 60-70,0,0,0,0,0,23.76,1.3,0.82,0,0.64,0,1.11,0
 72-82,0,2.06,3.55,0,0,31.84,0,1.16,0,0.49,0,0,0
 84-94,0,2.28,0,0,0,28.88,0,1.31,0,2.38,0,0,4.99
 96-106,0,3.36,0,2.3,0,29.54,0,0,1.19,4.92,0,0,3.37
108-118,0,1.7,1.78,0,0,53.35,2.68,9.2,1.25,3.42,0,0,2.82
120,0,1.38,0,0,3.8,83.8,6.01,14.51,0,0,0,0,8.65
