stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.19,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,19.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.96,0,0,0,14.75,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.57,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.71,0,0,0,0,0,0,0,0,0.87,6.48,0,0,0,0
 24-34,0,0,0,0,0,0,193.02,0,0,0,2.25,0,0,0,0,8.49,0,0.69,0,0,0,98.61,0,0,0.95,0,0,1.73,0,0,0,53.88,0,0,0,3.82
 36-46,0,0,0,0,0,0,957.82,0.58,0,0,28.33,0,5.61,0,0,0,1.24,1.39,0,0,0,385.29,0,0,1.5,0,0,3.44,0,0,0,848.88,0,0,0,4.38
 48-58,0,0,0,4.79,0.69,0,1524.62,2.05,0,6.82,184.3,0,1.08,0,0,0,0,14.45,0,0,5.1,444.23,0,0.5,0,0,0,0.91,0,0,0,1827.76,0,1.18,0,0
 60-70,0,0,0,3.67,0.57,0,1642.08,0,1.49,0,704.84,0,0.79,0,0,0,0,9.91,0,0,0,228.09,0,0,4.42,0,0.66,0,0,0,0,1384.22,0,0,0,3.54
 72-82,0,0,0,2.67,14.92,0,1222.55,0,0,0.95,740.11,4.5,3.49,4.27,0,0.59,0,11.54,0,1.13,0,99,0.53,1.23,0.99,0,8.02,11.27,0,0,0,1125.98,0,0.96,0,0
 84-94,0,3.32,0,5.3,16.99,0,1865.68,0,0,0,848.52,11.54,4.09,0,0,0,0,22.08,0,0.93,5.44,82.52,0.61,0,2.72,0,0,6.93,0.6,3.45,0,1188.39,0,0,6.58,0
 96-106,0,2.32,1.76,14.04,16.3,6.18,1864.18,1.82,1.83,2.33,799.2,9.01,6,0,1.2,8.9,0,80.5,0,1.26,4.56,85.29,0,3.89,1.07,0,0,13.98,0,0,0,1781.8,0,3.66,0.81,0
108-118,0,0,2.15,5.28,21.49,0,1709.16,0,0,0.73,716.41,1.18,3.44,1.08,0.7,0,0,61.73,0,2.52,0,141.01,0,0,0,0,2.98,4.15,0,0,0,657.44,1.53,1.13,13.73,0
120,0,0,1.66,2.43,9.81,0,2129.15,0,0,0,688.4,13.67,13.46,0,0,15.14,0,24.4,1.31,0,0,61.67,0,0,5.22,0,33.21,2.84,0,0,0,725,0,0,0,0
