stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,13.63,0,0,5.64,0.83,1.54,0,0,0,2.44,0,0,0,0
 24-34,0,1.51,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,2.25,0,0,1.34,61.72,0,5.32,1.47,2.58,0,0,0.67,3.57,7.97,0,0,0,0
 36-46,0,2.73,0,0,11.01,0,0,0,4.82,0,0.59,0,0,0,0,3.33,0,16.47,0,0,4.11,154.77,3.59,86.95,1.17,0,0,0,0,0,24.67,0,0,0.62,0
 48-58,0,2.66,0,0,33.31,0,0,0.82,8.2,0.58,0,0,0,4.37,0,0,0,9.81,0,0,2.49,150.92,0.6,64.02,1.26,0,0,0,0.4,0,19.19,0,0,0.45,0
 60-70,0,0.83,0,0,97.22,0,0.89,1.55,9.24,0,0,0,0,0,0,0,0,19.58,1.53,0,2.11,170.26,0,72.32,1.43,0,0,0,0,0,13.58,0,1.19,0,0
 72-82,0,9.58,0,0,43.3,0,0,1.2,4.88,0,0,0.89,0,0,0,0,0,23.13,9.71,0.55,2.29,52.91,0,95.53,1.22,4.38,0,1.24,0,0,2.63,0,1.38,0,1.55
 84-94,0,4.54,0,0,61.17,0,0,0.86,1.37,1.39,0,0,0.74,0,0,0.81,0,29.45,0,1.17,0.73,54.43,0,209.74,0,1.55,0,0,0,0,8.81,0,0,1.06,0
 96-106,0,0.91,2.68,0,46.49,0,0,5.16,13.91,2.8,0,0,0.58,0.6,0.95,0,0,17.78,0,2.36,1.49,67.13,0,149.23,0.57,0.71,0,0,0,0,0,0,0,0,0
108-118,0.89,4.53,6.15,1.27,41.04,0.89,0,0,0.71,0,0,0,0,0,0.83,0,11.73,17.75,0.61,1.87,2.38,80.07,0,169.76,1.18,0,0,0,0,0,0,0.97,0.85,0.63,0
120,0,9.34,0,0,44.86,0,0,0,1.37,0,0,1.17,5.32,8.15,0,0,0,23.24,0,0,0,43.89,0,142.89,3.09,0,0,0,0,0,0,0,0,0,3.69
