stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.09,200.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0,0
  5-6,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.22,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.53,12.58,0,0,64.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.8,0,33.86,0,0,0,37.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.29,23.17,0,0,155.33,0,0,18.14,0,29.38,0,5.32,0,0,0,0,0
 14-21,0,0,1.07,0.98,18.85,3.51,0,10.27,0,0,0,15.68,1.97,0,0,0,0,0,0,0,10.89,0,0,8.41,256.53,0.81,1.76,3.13,4.61,0,7.07,0.9,10.41,10.52,6.46,140.72,0,0,0,0,0
 24-34,0,0,2.91,0,3.99,0,0,41.7,0,1.04,1.4,16.08,1.88,0.86,0,0,0,0,0.77,0,36.05,0,0,7.56,423.54,0.74,14.85,2.58,1,0,0.86,0,0,7.29,2.16,144.54,0,0,3.3,0,0
 36-46,0,0,0,0,1.88,0,0,49.85,0,0.58,0.82,26.35,0,0,0.64,0.73,0,1,0,0,65.23,1.78,1.3,13.3,598.09,13.52,35,1.31,0,0,17.01,0.81,0,5.3,0,145.25,0,0,2.83,0,0
 48-58,0,0,0,0,5.75,0,0,182.4,1.55,3.72,4.25,31.68,1.71,0.51,0,0,0,0.42,0,14.4,75.84,0.46,1.64,11.93,555.91,7,12.98,1.98,0,0.47,0.39,0,0,4.66,0,92.63,0,0.42,7.76,0,0.85
 60-70,0,0,0,0,5.44,0,0,491.71,0.83,12.24,5.65,54.44,0.63,0,0,1.02,0,0.66,1.74,0,92.91,0,18.24,3.37,638.33,0,15.42,12.56,0,0,2.5,0,0,1.68,0,42.41,0,0,3.91,0,0
 72-82,0,0,4.18,0,6.19,0.55,0,596.52,0,4.2,4.07,43.98,4.69,0,0,0.66,0,0.51,0,0,104.02,0,2.15,6.85,476.06,0,24.27,7.18,0,0,0,0,0,1,0,41.52,0,1.91,3.56,3.16,0
 84-94,0,0,4.09,0,5.53,0.63,0,596.92,0,1.83,3.94,33.1,4.15,0,0,0,0.68,0.89,1.38,0,93.25,1.26,1.31,1.66,261.02,1.43,20.46,2.41,0,0,5.85,0,0,0,0,28.69,0,5.04,3.33,2.35,21.79
 96-106,0,0,3.21,0,5.35,0,0,380.42,0,0.58,3.22,37.08,0.66,1.6,0.7,1.78,0.77,0.58,6.49,0,86.39,0,4.37,9.59,197.38,0,28.69,2.64,0,3.56,2.67,0,0,0,0,2.41,0,1.5,10.26,1.83,7.73
108-118,0,0,0.98,0,14.5,0,2.14,347.26,0,2.26,4.39,21.66,0.95,0,0,0,0.95,4.04,1.07,0.61,65.88,1.47,6,2.51,363.69,2.08,24.83,8.04,0,0,2.15,0,0,1.75,0,3.62,4.06,0.94,1.24,2.49,1.42
120,0,0,0,0,7.96,8.45,0,322.05,0,0,4.76,70.46,3.35,1.61,0,2.21,0,0,0,0,99.66,0,14.75,7.81,400.11,0,6.45,2.77,0,0,2.59,0,0,0,0,6.26,0,0,0,2.54,0
