stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,heart,iridophores,mesenchyme,neural,periderm,pronephros,spinal.cord,vasculature
  3-4,42.45,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.29,0,0,0,0
 14-21,0,1.69,0.88,0.96,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.44,0,0,0,0,0,1.16,0,0,0,0.6
 36-46,0,0,0,0,0,0,0,0,0,0,3.4,0.63,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.39,0
 60-70,0,0,0,0,1.39,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.36,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.29,0,0,0,0,0.71,0,2.02,0
108-118,0,0,0,0,0,1.33,0.44,0.94,0,1.51,0,0,0
