stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,gut,heart,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,20.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.82,0,0,0,0,0,0,0,0,0,0,16.12,0,0,6.55,0,0,0
 10-12,0,8.25,0,0,0,0,0,0,0,0,0,12.18,0,0,0,0,0,0
 14-21,0,0,1.23,0,0,1.23,0,0,0,24.19,12.54,16,0,0,0,1.25,24.33,0.93
 24-34,0,0,0,0,0,0,0,0,0,39.19,15.19,1.81,0,0.76,0,0,0.87,0
 36-46,0,0,0,0.81,0,0,0,1.51,0,0.75,0,9.37,0.6,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.84,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.13,0,0,0,3.5,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.68,2.4,0,0.85,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.34,0,0.61,0,0,2.67,0,3.41,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.98,0,3.93,0,0,2.5,0,0,0,0,0,0
120,0,0,0,0,0,0,14.01,0,0,2.37,0,16.03,0,0,0,0,0,0
