stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,3.06,0,0,0,1.79,0,0,5.7,0,0,0,0
 24-34,1.06,0,8.61,0,0,0,0,0.67,0,0,0,0.68,0,8.2,0,0,4.9,105.94,1.93,0,0.64,11.65,0,2.11,23.65,0,0,2.94,0
 36-46,8.97,1.99,13.03,0,0,0,0,0,0,0,0,0.79,0,12.44,0.95,0,5.41,110.15,0,0,0.61,3.02,5.42,0,13.83,0,0,4.53,0
 48-58,8.19,0,43.02,1.21,0,0,5.12,0,0.67,0,0,1.59,0,6.81,0,0.38,4.87,93.52,0,3.84,4.53,16.03,0,0,34.56,0,0,2.04,0
 60-70,6.61,0,46.08,0,0,0,1.12,0,0,0,0.93,0,0,16.42,0,0.65,7.22,53.92,0,0,17.97,2.85,0,0,10.45,0,0,3.55,7.78
 72-82,0,1.8,63.2,2,6.99,1.07,5.85,0,0,0,0,1.91,0,12.95,0,0.85,0,75.55,0,0,4.89,0.87,0,0,13.67,0.5,0,0.85,0
 84-94,0.98,0,4.27,0,0,0,2.78,0,0,0,0,0,0,10.19,0,0.96,0,12.69,0,0,3.57,1.26,0,0,0,0,1.37,0,0
 96-106,0,0,14.14,0,0,0,1.22,0,1.33,0,0,0.65,0,8.39,0,0,3.85,18.7,0,0,0,3.75,0,0,0,0,0,1.05,0
108-118,2.15,0,19.33,0,0,0.6,7.86,0.58,0,0,1.02,0.69,0,13.1,1.25,0,1.13,29.55,0,0,2.83,7,0,0,0,0,0,3.99,0
120,8.04,2.94,99.2,0,0,3.1,5.27,3.32,0,4.22,0,0,3.92,4.13,0,1.26,0,104.21,0,0,0,27.09,0,0,0,3.65,0,5.43,0
