stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,150.56,2904.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93,0,0,0,0,0,0,0,0,0,0
  5-6,306.45,4972.09,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.05,0,0,0,48.68,0,73.63,0,0,0,0,0,0,0,0,0,0
  7-9,62.64,176.15,185.1,0,0,0,511.2,0,0,0,0,128.21,0,0,0,0,0,0,0,0,0,0,0,3678.12,70.26,0,0,1325.68,0,0,29.24,0,0,0,0,0,0,0,0,0
 10-12,0,103.3,136.27,0,46.92,0,372.41,0,0,0,0,29.72,0,0,0,0,0,0,0,0,0,0,0,3097.28,17.98,0,0,987.42,0,0,3.78,4.75,142.83,9.11,5.88,0,0,0,0,0
 14-21,2.31,0,13.52,148.1,34.24,0,76.42,0,0,26.77,2.85,0,0,0,5.42,0,2.24,0,0,68,0,0,72.46,1572.82,15.03,2.22,14.56,41.9,0,33.2,0,110.03,7.72,90.29,388.34,0,0,6.16,0,0
 24-34,0,0,4.34,70.55,7.51,0,319.77,3.59,0.69,23.74,0,0,0,2.23,1.25,2.28,4.69,7.12,0,223.17,0,3.38,75.2,2138.3,12.35,12.79,18.97,0,0.99,54.98,0,0,1.44,5.38,465.4,0,0,26.48,0,0.75
 36-46,0,0,0.6,43.23,7,0,658.71,1.03,0,45.02,0.72,0,3.03,29.34,0,1.49,1.57,3.21,6.19,141.67,0,5.67,52.6,1277.67,3.23,6.07,6.56,0,0,37.72,0,1.78,8.41,0,279.14,0,0,34.52,0,8.83
 48-58,0,0,0,44.64,5.53,0,615.73,6.45,1.58,34.67,3.21,0,5.39,0.54,0,1.24,0,1.62,0,127.88,0.91,7.8,27.07,603.48,2.53,1.64,4.04,0,0,6.13,0.56,0,4.97,0,81.02,0,0,12.68,0,11.96
 60-70,0,0,0,30.94,0,0,403.05,2.05,1.8,49.77,3.97,0,3.18,9.26,0,8.19,3.12,0,0,123.72,0,11.17,18.52,436.75,9.51,2.44,8.03,0,0,1.33,0,0,2.14,0,30.51,0,0,15.06,0,8.13
 72-82,0,0,0,23.48,1.61,0,116.09,0,0.66,45.95,2.25,0,0,7.45,1.28,1.24,0.68,0,0,112.17,1.7,9.08,26.71,265.36,0.5,1.41,1.43,0,0.71,3.68,0,0,0.55,0,7.73,0,0.5,17.64,0,0
 84-94,0.62,0,0,37.57,10.97,1.48,130.13,4.3,5.31,27.16,11.36,0,5.7,4.47,0,3.08,1.46,5.35,0,139.53,0,17.2,19.9,186.65,3.42,3.09,5.59,0,0,2.74,0,0,0.92,0,2.59,0.98,0,14.86,0.91,4.41
 96-106,0,0,0,24.95,4.28,0,79.72,0,3.46,33.6,8.13,0,0,7.3,3.29,1.65,1.11,1.99,0,72.98,1.56,0,11.07,134.68,0,1.14,2.8,0,1.36,6.8,0,0,2.67,0,8.29,1.64,0,27.95,0.69,5.74
108-118,0,0,0,33.9,9.18,0,118.35,1.02,0,36.67,3.99,0,0,9.69,0,4.91,0.78,2.84,0,62.47,0.42,6.56,6.34,222.46,0.76,6.33,1.28,0,0,12.81,0,0,1.35,0,2.39,4.03,0,9.35,0,0
120,0,0,0,30.41,7.87,0,124.25,2.49,2.07,56.03,2.28,0,3.44,13.95,1.1,0,0,3.71,0,74.29,0,0,15.54,221.6,0,1.46,8.31,0,4.59,4.35,0,0,0,0,4.85,0,0,11.73,2.31,0
