stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,10.9,390.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.22,0,0,0,0,0
  5-6,28.01,517.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,0,0,0,0,14.17,0,0,0,0,0
  7-9,0,0,10.67,0,0,0,31.23,0,0,0,26.72,0,0,0,0,0,0,0,0,275.5,9.01,0,0,51.75,0,4.29,0,0,0,0,0
 10-12,0,0,5.36,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,201.42,6.18,0,0,46.93,0,3.1,0,0,0,0,0
 14-21,0,0,0,0,1.37,0,6.15,0,0,0,1.69,0,0,0,0,0,0,0,0.87,25.28,0,0,0,0,0,0,2.85,0.84,3.45,0,0
 24-34,0,0,0,1.28,0,0,3.01,2.52,0,0,0,0,0,0,1.29,2.29,0.61,0,0,26.61,0,0,0,0,0,17.14,0,0,6.51,0,0
 36-46,0,0,0,0,0,0,6.44,0,1.23,0,0,0,0.88,0,4.89,3.87,0,0,0.63,25.31,0,1.02,0,0,0,61.73,0,0,7.65,0,0
 48-58,0,0,0,0,0,0,4.4,0,1.32,0,0,0,0,0,8.18,3.28,0,0,0.62,13.96,0,0,0.66,0,0,31.37,0,0,0,0,0
 60-70,0,0,0,0,0,0,7.2,0,0.71,1.02,0,0.63,0,0,0,0.63,0,0,0,8.84,0,0,0,0,0,3.93,0,0,0.58,0,2.08
 72-82,0,0,0,0.72,0,0,2.57,0,4.07,0.81,0,4.06,0,0,0,4.74,0,0,0,14.22,0,0,0,0,0,4.89,0,0,0,0,0
 84-94,0,0,0,0,0,0,6.77,0,1.29,0.96,0,0.64,0,0,2.83,2.34,0,0,0,2.24,0,0.95,0.64,0,0,1.75,0,0,0,1.23,1.43
 96-106,0,0,0,0.61,0,0,8.43,0,9.93,0,0,0,0,0,0,1.6,0,0.7,0,1.37,0,0,0.71,0,0,2.11,0,0,0,0,0
108-118,0,0,0,1.28,0,4.13,0.63,0,6.64,0,0,0,0.41,0,3.71,2.85,0,0,0,0,0,0,1.44,0,1.95,5.22,0,0,0,0,0
120,0,0,0,1.27,0,0,0,0,20.32,0,0,0,0,1.16,0,0,0,0,0,7.07,0,0,5.64,0,0,18.66,0,0,0,0,0
