stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.2,327.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,19.85,139.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.04,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.29,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,0,0,0,0,0,0,0,0,0,0,9.24,0,0,0,0,0,0,0,0,0,0,0,49.65,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,1.09,0,0,0,2.36,0,0,0,1.85,0,0,0,0,0,0,0,0,0,3.44,0,0,0.96,56.79,0,2.41,0.86,1.03,0,0,1.5,0,0,3.79,52.21,0,0,0,0,0
 24-34,0,0,0.66,0,2.62,1.65,0,11.9,0,0,0,17.43,0,0,0,0,0,0,0,0,0,6.67,0,0,0,490.61,6.04,4.92,2.84,0,0.99,0,0,0,1.15,0,150.63,0,0,5.44,0,0
 36-46,0,0,0,0.56,0.58,0,0,32.32,0,0,0,34.81,0,0,0,0,0,0,0,0,0,10.19,0,0.72,2.52,939.01,0,4.14,0.7,0,0,0,0,0.56,0,0,226.59,0,0,8.72,0,0
 48-58,0,0,0,0,14.49,0,0,153.9,0,0,0.7,49.94,1.77,0,2.23,1.21,0,10.84,0,0,0.38,17.98,0,1.55,10.47,1011.55,0,1.47,1.24,0,0,4.9,0,0,0,0,190.5,0,0,0,0,0.38
 60-70,0,0,0,0,10.09,0,0,354.63,1.59,0,0.84,28.81,1.58,0,0,0,0,0,4.84,0,0,35.1,0,0,0,1221.81,0,3.28,0,0,0,8.2,0,0,0,0,153.24,0,0,1.67,0,0
 72-82,0,0,0,0,1.07,4.27,0,360.65,1.57,0,0,24.57,0.99,0,0,2.22,0,0,0,2.38,0,20.28,0.89,9.89,0,1117.97,0,3.94,3.76,0,0,0,0,0,0,0,104.48,2.31,0.66,4.94,0.6,3.79
 84-94,0,0,0.94,0,6.23,0.64,0,293.15,0.56,0,0,29.03,0,1.22,0,1.06,0.55,0.71,0.83,0.61,0.98,15.9,0,0,0.6,583.34,0,4.24,3.44,0,1.65,1.73,0,1.46,0,0,50.47,0,1.91,0,0.98,2.28
 96-106,0,0,0,0,8.12,0,0,221.03,0,0,0,31.04,0,0,1,0.63,0,0.81,0,0,0,20.44,3.31,2.28,0,445.26,0,15.02,8.84,0,1.92,6.77,0,0,0,0,36.28,1.22,4.97,3.19,1.24,0
108-118,0,0,4.75,0,14.54,0,3.73,227.81,0,1.12,0,15.06,0.65,0,3.23,0.93,3.59,0.59,0.48,2.64,1.67,24.36,0,1.07,0,629.89,0.44,7.89,4.79,0,0,2.2,0,0,0,0,20.45,0.68,1.42,2.66,0.87,0
120,0,0,3.01,0,37.62,1.65,2.35,355.42,0,0,5.84,30.69,1.31,0,0,4.19,2.43,4.78,1.07,3.24,3.24,53.54,0,0,1.09,1151.46,0,17.8,20.58,0,4.76,3.92,0,1.13,0,0,62.91,0,0,9.14,0,0
