stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.84,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,19.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.75,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,22.09,0,2.9,0,0,0,0,0,0,0,0.95,0,0,0,0,5.67,0,0,4.33,23,0.92,0,0,2.04,0,5.27,9.21,0,1.7,8.12,5.52,0,0,1.14,0,0
 24-34,0,0,0,32.23,8.41,5.16,0,7.95,0,0.85,1.22,0,1.32,1.53,0,2.19,1.38,0,7.15,3.29,0,4.73,73.33,0,10.73,0.66,0,0,20.56,0,0,1.55,0.6,18.87,0,0,13.5,0,0
 36-46,0,0,0,50.24,0,14.89,0,7.86,0.82,1.1,0,0,0,0.79,0,2.88,0,0,6.97,0.65,0,1.51,73.68,0,10.83,0,14.25,0,76.93,0,9.88,0,0,32.85,0,0,3.54,0,0
 48-58,0,0,0,22.72,0.82,36.45,0,2.21,1.1,6.65,0.91,1.13,13.29,0,0,0.97,0,4.24,15.61,0.89,0.4,7.23,128.4,0,4.86,0,0,0,29.74,0,0,0,0,15.14,0,0,6.11,0,5.21
 60-70,0,0,0,44.28,0,55.16,0,10.56,0,7.24,0.89,0,3.57,0,0,0,0,0,8.24,0.67,0.81,1.12,82.19,1.36,2.4,0,0,0,33.01,0,0,0,0,15.06,0,0,0,0,0
 72-82,0,0,0,33.02,3.23,73.61,0,3.27,1.05,9.98,5.28,0.84,0.55,1.01,0,5.32,0,0,28.62,1.25,6.35,3.98,164.39,0,8.66,0,0,0.71,7.5,0,0,0,0,12.6,2.25,0,1.34,0,8.48
 84-94,0,0,0,22.36,0,57.34,0,2.2,3.51,6.56,7.14,0,6.5,0,0,3.67,0,0,19.48,0.86,2.45,0,95.37,0,1.11,3.53,0,0,13.42,0,0,0,0,2.9,3.64,4.16,0,0,0
 96-106,0,0,0,32.03,3.94,45.96,0.59,6.36,0,12.94,6.25,0,0.79,1.23,0.58,2.41,7.59,0,17.17,0.97,1.11,3.01,96.39,0,10.07,1.62,0,3.62,10.66,0,0,0,0,11.95,2.67,0,0.64,1.08,3.81
108-118,0,0,0,17.24,0.9,17.56,0,4.42,0,6.08,3.65,0,1.57,0.93,0,0,1.81,0,11.56,0.51,0,2.38,108.98,0.43,1.51,1.31,0,0,6.15,0,0,0,0,11.15,9.3,2.42,0,0,0
120,0,0,0,55.03,16.2,67.98,0,12.2,0,16.18,2.47,0,7.48,1.65,0,2.39,1.28,0,19.55,0,0,1.49,119.33,0,15.97,0,0,0,21.67,0,0,0,0,0,5.92,0,4.59,0,0
