stage,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,neural,spinal.cord,vasculature
 24-34,0,0,0,0,0,0,0,2.78,0,0
 36-46,0,0,3.03,0,0,0,0,6.71,0,0
 48-58,0,0,2.5,0,0,0,0,0.65,0,0
 60-70,0,0,1.37,0.94,0,0,0,0,0,1.27
 72-82,0,0,0,0,0.53,0.5,0,0,0,2.41
 84-94,0,0.92,0,0,1.33,0,0,0,5.73,1.8
 96-106,0,0.96,0,0,3.88,0,0,0,0,4.56
108-118,0.46,0,0,0,2.68,0,0.42,1.53,0,2.29
120,0,0,8.47,0,10.12,0,0,0,0,2.05
