stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.66,7.36,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,4.8,1.04,0,165.81,0,0,0,1.43,0,0,3.26,0,0,0,0,5.81,0,11.38,0,0,0,3173.36,0.92,0,0,0,0,0,2.86,0,0.98,82.53,0,0,3.71,0,0
 24-34,0,6.61,11.76,1.23,0,3345.23,0,0,1.02,4.35,0,1.4,1.76,11.06,4.46,3.3,0,6.43,0.62,51.83,2.4,0,12.1,1756.61,2.15,1.63,5.58,0,0,18.45,0,0.69,1.35,129.74,0,0,8.08,0,0
 36-46,0,0,4.91,6.7,0,7240.98,0,0,1.35,13.07,0.72,0,1.84,0,1.02,0,0,5.06,4.51,26.62,2.03,0,5.68,611.74,6.09,1.21,0,0,0,25.52,0,0,0,122.21,0,0,4.11,0,14.01
 48-58,0,0,3.2,0,0,4606.08,0,1.1,1.72,14.02,1.61,0,1.36,1.36,0,0,0,0.48,3.73,32.57,1.92,0.53,1.73,260.3,1.2,0.39,0.4,0,0,10.73,0,0,0,47.42,0,0,7.72,0,23.6
 60-70,0,11.48,16.45,0,0,5438.02,0.9,5.31,0.86,9.2,1.85,0,0.75,2.45,0,8.58,0,5.16,0,17.69,0.67,0,0.6,189.02,0,0,0,0,0.84,5.7,0,0,0,22.31,0,0,6.46,0,0
 72-82,0,8.67,8.69,0.55,0,4050.65,0,0,2.11,4.31,8.38,0,0,0,0,2.2,0.57,0,0,29.76,7.83,0,0,108.93,0,0,2.28,0,0,10.04,0,0,0,13.35,0,0,7.67,0,0
 84-94,0,11.8,12.07,2.29,0,5092.93,0,1.88,0,15.63,10.62,0.66,0,4,0,0,0,0,0,20.05,0,3.14,0,100.88,0,0,0,0,0,10.14,0,0,0,0.99,0,0,7.07,0,4.59
 96-106,0,12.88,8.03,2.78,30.03,3225.47,0,1.82,0,4.15,10.37,0,3.87,3,2.81,0,0,0.94,0.65,25.5,14.65,12.43,0,51.36,0,0,1.74,0,0,18.11,0,0,0,1.73,0,0,2.07,0,12.53
108-118,0,8.56,4.25,19.77,0,4417.98,0,1.79,2.63,23.03,33.2,0,1.44,1.72,0,0,0,1.82,0,55.67,0,3.66,3.8,138.36,0,2.19,0.94,0,1.82,15.23,0,0,0,0,1.6,2.08,0.61,1.71,0
120,0,3.01,0,16.65,1.62,3015.06,0,2.96,0,5.34,46.34,0,0,4.4,0,0,6.94,6.54,0,20.32,1.31,0,0,100.53,0,0,1.61,0,0,15.9,0,0,0,15.83,0,4.27,0,0,0
