stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,67.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.63,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,5.85,0,0,5.27,0,12.45,0,0,0,0,0,0
 14-21,0,0,1.91,0,0,0.9,0,0,0,8.07,0,1.26,0,0,0,0,0,0,0.84,0,0,8.84,24.53,0,7.68,0,0,0,1.01,0.85,141.53,281.2,34.02,0,0,0,0,1.85
 24-34,0,0,1.28,0,0,7.91,2.94,0,0,11.46,0.59,1.22,0,0.77,0,0,0,2.96,10.77,0,0,27.93,410.52,2.87,53.26,0,0,2.61,0,2.46,30.06,108.22,132.32,0,0,5.75,0,0
 36-46,0,0,0.94,0,0,20.3,6.77,6.72,0.58,8.54,0,0,0,0,0,0,0,2.45,4.72,0,0,4.42,980.01,3.6,45.64,0,0,0,0,1.03,24.85,4.58,214.15,0,0,3.15,0,0
 48-58,0,0,0,0,0,107.05,18.25,0,0,33.44,1.15,0,0,0,0,0,6.39,0,5.96,0,4.39,16.07,1127.86,2,40.68,0.41,4.77,0,0,0,15.68,0,252.75,0,0,0,0,0.47
 60-70,0,0,3.26,1.65,0,131.28,12.7,3.13,0,14.41,1.23,3.33,0,0,0,0,0,0,3.73,0,1.12,22.14,1633.77,1.43,28.7,1.23,0,0,0,4.15,6.06,0,190.46,0,0,0.84,0,0
 72-82,0,0,4.27,1.18,0,160.95,26.13,0,0.81,34.73,0.67,0.49,0,0,0,0,0,0,16.71,0,0.57,14.04,1185.83,2.3,40.1,0,0,0,0,0,4.69,0,139.74,0,1.26,2.95,1.87,0
 84-94,0,0,5.08,0.77,1.52,164.29,11.16,4.23,0,34.67,0,0,1.23,0,0,0,0,0,16.27,0.65,0,17.42,828.68,0,29.92,4.92,0,0.68,0,0,0.62,0,67.1,0,9.23,0,0.62,6.26
 96-106,0,0,0,24.07,0.6,181.03,18.94,0,0,28.03,1.66,1.52,0,0,0,0.94,0,0,19.32,0,0,7.87,734.08,0,45.45,0,1.2,4.19,0,0,2.55,0,42.28,1.13,3.23,0,0,0.63
108-118,0,0,3.75,0,0,121.38,23.86,0,0,46.94,0,0,0.56,0,4.69,0,0.7,0,14.2,0,0,23.97,722.22,0,39.63,1.79,0,0,0,0,6.48,0,30.12,0,0,0.99,0.54,0
120,0,0,16.77,1.84,1.89,160.71,14.34,13.77,0,57.41,0,0,0,0,0,0,0,0,14.86,0,0,33.05,1166.73,0,41.89,3.01,0,7.65,0,0,1.63,0,58.78,5.08,0,0,0,0
