stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,11.99,305.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.24,329.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.94,0,0,0
  7-9,0,4.37,4.49,0,0,0,0,0,0,0,0,0,0,29.08,0,0,23.17,0,4.25,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.87,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.82,0,0,14.83,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.64,0,0,1.49,0,0.39,1.81,0,0,0.59,0,0,0,0,0,0.72,0
 60-70,0,0,0,0,0,0,1.32,4.89,0,0,0,0,0,8.68,0,0,0,0,0,0,0
 72-82,0,0,0,0,12.04,0,0,22.67,0,0,0.88,0,0,6.16,0.49,0,0,0,0,5.48,0
 84-94,0,0,0,0.56,6.97,0,0,12.82,0.65,0,0,0,0,4.59,0,0,0,0.81,0,0,0
 96-106,0,0,0,2.55,0,1.45,2.48,47.07,0,0,3.49,0.59,0,5.75,0,0,0,1.87,0,0,0
108-118,0,0,0,2.32,0.69,0,7.6,53.5,0,0,0,0,0.49,3.95,4.88,0,0,0,0,0,0
120,0,0,0,7.31,9.47,0,0,122.54,2.29,0,0,0,0,50.22,0,11,0,0,0,0,3.86
