stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,151.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,149.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,8.57,0,11.94,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.71,0,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.3,0,24.73,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.02,0,0,0,44.28,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.44,0.99,2.05,0,0,0,1.09,2.27,0,0,0.81,0,0,0,3.71,21.28,40.89,0,0,10.29,88.86,1.08,0,0.94,3.68,0,0,13.45,0.86,1.34,20.35,0,0,1.01,0,0
 24-34,0,0,0,0.67,10.65,1.32,8.04,0,0.83,0,0,0,0,1.36,0.8,3.4,0.83,0.68,0,124.07,105.5,0,0,16.2,109.48,0,0,0.71,0,0.99,0,0,0,4.48,33.65,0,0,29.81,0,2.13
 36-46,0,0,0,0,2.26,0,5.77,0,0.86,2.1,10.82,0.82,0,1.19,13.45,0,0,0,0,198.48,88.22,0,2.09,10.83,97.1,0,1.63,1.7,0,0,0,0,0,0,49.12,0,0,14.35,0,8.52
 48-58,0,0,0,0,0,0,5.71,0,0,1.54,19.66,0,1.42,0,10.15,0,0,1.31,0,111.11,66.87,0,0.51,12.6,92.28,0,0,1.73,0,0,0,0,0,0,62.45,0,0.89,2.48,0.78,0.44
 60-70,0,0,0,0,0,0,50.61,0,0,0.86,124.36,0,0,0.66,6.72,0,1.97,0,0,74.02,109.39,1.68,0.64,8.17,167.84,0.62,0.88,5,0,0,0,0,0,0,95.74,0,0.73,0,0,0
 72-82,0,0,0,0,3.15,3.71,140.11,2.3,0,2.96,151.33,1.2,0,0,13.19,0,2.2,0.53,0,35.68,193.48,0,6.97,13.24,306.51,0,1.04,6.16,0,1.2,0.66,0,0,0,110.74,1.36,19.85,8.91,3.61,5.67
 84-94,0,0,0,0,6.4,4.56,141.49,0,2.91,5.6,129.04,0,1.44,6.39,29.79,0,6.26,1.05,1.13,55.24,150.86,0,10.04,20.07,232.65,0,0,2.54,0,0.6,1.35,0,2.8,0,45.89,1.01,13.86,0,7.25,0
 96-106,0,0,0.99,3.7,14.49,5.5,122.2,0,0,14.56,203.25,1.7,0,4.73,30.67,0.74,5.8,0,1.54,13.2,202.21,0,6.43,19.48,274.92,0,2.53,0,0,1.6,3.11,0,0,0,32.47,0,8.13,3.79,6.22,0
108-118,0.5,0,0,3.13,7.04,1.83,117.05,0,1.49,13.66,253.53,3.65,0,2.03,25.74,0,0.81,3.71,4.08,31.74,296.64,1.08,21.48,20.87,248.29,0.48,0,7.29,0,0.91,0,0,0,0,48.85,1.35,17.13,7.12,11.03,1.55
120,0,0,0,0,6.9,9.23,134.92,0,0,6.93,254.75,5.88,0,2.18,63.06,1.1,2.83,0,5.66,17.82,153.59,0,27.01,10.49,363.17,6,0,9.44,0,0,1.2,0,0,0,37.16,0,0,0,0,4.83
