stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.81,10.89,0.81,0,4.64,0,0,0,0,0,0,0,0,0.96,0,0,0,0,3.65,0,0,2.77,40.85,0.92,5.23,0,0,9.19,3.38,2.38,0,7.78,10.17,0,0,0,0,0
 24-34,0,0.6,0,13.72,0,0,39.03,0,0.85,0,7.54,1.74,0,0.67,0,0.6,2.09,1.29,0.61,0,32.11,0,0,9.42,369.92,2.31,4.97,3.72,0,41.9,0,2.15,0,3.66,78.07,0,0,21.47,0,0.78
 36-46,0,0,0,6.25,0,0,106.62,0,2.87,4.33,5.57,0,0,9.47,3.34,0,0.91,0.57,0,9.57,44.88,0.6,1.59,5.99,482.75,9.1,9.28,15.78,0,92.05,0,1.81,0,1.38,113.36,0,0,4.24,0,1.45
 48-58,0,0,0,27.3,0.77,0,159.6,0.86,1.37,6.62,38.49,0,0.37,2.05,6.05,1.02,0,0.98,0,2.28,59.37,3.91,1.36,11.9,509.24,4.29,3.49,1.97,0,33.43,0,0.74,3.26,0,81.19,0,0,11.83,0,0.85
 60-70,0,0,0,25.37,1.9,0,221.84,4.69,2.78,8.45,34.63,0,0,10.87,6.36,1.21,2.82,5.71,1.41,0.71,100.81,0,6.18,10.89,478.12,6.52,7.79,0.83,2.4,43.57,0,0,0,0,69.33,2.44,1.31,18.69,0,3.3
 72-82,0,1.26,0,10.04,25.38,0,180.63,1.71,4.33,3.69,60.35,5.85,0,0.6,2.13,0,0.59,7.37,0,0.5,157.02,0.55,6.28,15.98,505.39,0,20.91,13.44,0,26.58,0,2.11,0,0,73.18,5.66,0.76,39.32,6.61,0
 84-94,0.62,0,0,36.67,14.52,0,201.21,0.79,10.15,4.75,54.1,7.95,0,2.95,6.3,0.72,0.55,1.82,6.94,2.85,98.07,1.53,12.27,0.83,223.87,8.41,11.52,3.55,0,85.76,0,1.93,0,0,17.68,4.01,1.91,28.85,10.06,12.17
 96-106,0,0,0,19.74,28.38,0,71.77,0.93,0.64,0.82,43.5,2.21,0,0,4.85,0,5.17,9.82,0,4.96,86.93,16.62,4.46,3.99,250.66,2.03,13.82,4.11,0,71.27,0,0,5.77,0,15.81,2,0,16.04,1.63,0.89
108-118,0,0.89,0.74,35.27,24.18,9.76,126.46,2.44,1.74,4.73,71.53,1.97,0,8.12,7.93,3.39,2.98,2,1.81,0,144.64,16.07,7.68,18.98,277.11,1.14,8.85,13.87,3.15,51.71,0,1.95,0,0,8.85,1.58,0,15.97,0.72,3.06
120,0,0,0,72.88,21.55,0,178.27,0,7.79,2.17,109.83,10.1,0,0,12.75,9.06,7.44,13.16,0,0,239.94,1.59,37.68,8.86,728.36,1.8,2.28,32.51,16.5,71.31,1.12,3.17,0,0,45.48,5.22,0,33.8,14.67,0
