stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16.14,1.07,0,0,0,0,0,1.23,1.08,0,0,0.88,0,0,0,0,0.82,0,0,10.25,13.46,10.72,0,1.54,2.35,0,0,0.89,0,2806.3,11.4,13.43,0,0,20.32,0,0
 24-34,0,0,0,18.63,3.85,0,38.88,7.08,1.82,0.79,5.58,0.92,3.09,13.17,1.35,0.63,0,0.6,2.84,38.18,0,0,99.4,494.47,0,1.36,6.74,0,0,19.05,12.42,3.89,7209.31,4.62,46.31,0,0,54.8,0,7.43
 36-46,0,0,0,8.18,1.06,0,70.03,32.41,1.24,1.26,17.78,0,0,4.81,0,2.31,2.52,15.92,2.22,52.78,0,0,58.47,453.04,3.14,4.74,26.44,0,17.2,37.81,0,1.41,12324.15,0,100.36,0,0,28.84,0,22.99
 48-58,0,0,0,27.44,5.08,0,267.19,57.19,19.95,5.36,81.1,0,3.34,4.93,12.23,0.99,2.07,0,10.62,113.08,0.91,2.04,81.69,920.01,22.17,2.94,21.23,0,0,42.96,0,0,9984.05,0,182.72,0,0.51,19.57,0,57.9
 60-70,0,0,0,45.96,5,0,279.51,110.08,7.29,9.14,59.79,4.95,0.75,8.94,17.28,1.88,0,3.25,4.76,113.44,0.63,1.74,151.28,511.48,8.65,1.8,61.45,11.35,1.13,32.12,0,0,5249.15,0,81.58,0,1.03,4.92,0,33.8
 72-82,0,0,0,8.69,31.23,0,330.44,104.55,7.13,11,58.63,4.18,2.46,6.25,7.11,8.35,0.6,1.03,3.43,112.43,0,4.61,83.24,629.1,0,7.42,35.45,1.13,2.36,24.07,0,0,2454.37,0,81.94,1.21,1.39,10.08,0,28.09
 84-94,0,0,0,23.18,33.1,8.68,366.09,219.88,0,9.35,46.15,2.46,4.17,4.85,0.6,13.35,1.52,30.52,14.4,139.57,3.08,8.37,31.96,452.22,7.12,2.97,75.08,0,2.56,62.51,0,1.07,5192.41,0,40.47,8.32,0.56,8.11,10.73,16.13
 96-106,0,3.15,1.03,77.87,270.5,3.71,918.53,218.25,13.62,25.27,230.43,21.78,17.24,28.26,19.82,18.16,6.67,60.4,9.01,488.75,35.52,9.95,137.99,1121.96,1.38,25.98,111.66,18.07,24.7,166.73,0,0,6167.81,0,69.56,4.73,5.05,49.71,17.19,30.37
108-118,0,0,0,43.67,35.82,5.82,399.42,366.27,5.8,11.15,78.21,1.11,3.05,10.8,2.69,6.59,0.49,32.04,5.81,163.95,29.57,4.03,111.35,574.44,2.46,4.84,61.21,8.11,3.49,53.04,0,2.31,5367.95,0,17.63,1.4,6.22,28.26,7.83,46.08
120,0,0,0,49.47,19.59,0,141.5,172.26,7.75,0,37.01,7.79,0,26.32,1.06,0,1.77,0,11.42,207.71,0,2.47,232.38,488.77,2.98,14.39,44.71,0,0,9.67,40.28,5.66,2432.22,0,27.57,0,2.71,41.75,0,0
