stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,heart,ionocyte,melanocytes,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.95,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.58,4.92,3.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.03,16.49,6.67,27.08,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59,0,0.83,0,0
 24-34,0,0,0,0,0,0,0,1.96,0,0,0,1.52,0,25.51,0,0,0,0
 36-46,0,1.49,0,0,0,0,0,0,0,0,0,4.83,0,18.06,0,0,0.76,0
 48-58,0,0,0,0.92,0,0,0,0,0,0,0,1.94,0,25.59,0,0,0,0
 60-70,0,0,0.71,2.78,0,0.77,0,0,0,0,0,14.34,0,64.57,0,0,0,0
 72-82,0,1.15,0,2.2,0,0,1.41,0,0,0,0,4.21,0,51.29,0,0,4.91,0
 84-94,0,3.31,0,1.38,0,0.67,0,0.58,0,0,2.35,0,0,90.84,0,0,0,0
 96-106,0,8.5,6.94,0.6,0,0,0,3.15,0,0.77,2.26,3.26,0,160.14,0,0,0,3.34
108-118,0,8.02,1.83,2.01,1.62,0.65,0,3.97,2.88,0,0,14.38,0,85.75,0.62,0,0,0
120,0,12.25,0,8.91,0,0,0,1.25,0,0,1.31,0,0,154.18,0,0,0,0
