stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.09,220.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0
  5-6,0,71.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,18.7,0,6.22,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.68,12.96,0,0,0,0,0,0,2.04,0,0,0,1.17,0,0,1.04,0,0,0,0,0,0,0,11.38,7.86,5.27,0.93,4.4,1.25,0,0,0
 24-34,0,0,0,1.16,0.69,0,0,0,0,0,0,0,0,0.76,0,1.43,0,0,0,0,0,0,1.41,1.1,0,0,44.38,0,0.97,0.99,0,0.93,0,0,0
 36-46,0,0,0,0,0,0,0.58,0,0,0,0.64,1.53,0,0,0,0,0,0,4.9,1.19,0,1.08,0,0,0,0,65.58,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.53,0.6,0.4,0,0,0,0,0,0,0,0,6.69,0,0,0.43,17.91,0,0,0.56,35.84,0,0,0,0,3.67,0,0,5.02
 60-70,0,0,0,0,0.83,4.29,0,0,0,0,15.3,0,0,0,0,0,0,0,5.73,0,0.8,0,0,0,0,0,21.39,0,1.17,0,0,0,0.7,5.08,0.72
 72-82,0,0,1.43,0,0,1.22,4.69,0,0,0.96,7,0,0,0.56,0,0,0,0,2.14,2.55,0,0,2.55,0,0,0,41.17,0,0,0,0,0,0.68,2.37,19.17
 84-94,0,0,0,0,0,2.6,0,0,0.79,0,6.37,0,0,0,0,0,0,0,5.61,0,3.78,0,8.87,0,0,0,43.24,0,1.81,0,0,0,0.64,4.32,10.25
 96-106,0,0,0,0,0,1.61,2.25,0,0,0,0,0.98,0,0.97,0,0,0,0.77,5.47,7.98,1.56,0,0,0,0,1.36,50.32,0,0,0,0,0,3.59,0.76,18.19
108-118,0,0,0,0,0,10.55,0,0,1.88,0,0,0,0,0,0.75,0,4.12,0,2.21,0.91,5.67,0,2.13,0,0,0,16.29,0,0,0,0,0,2.33,6.78,29.09
120,0,0,0,0,0,2.94,3.21,0,0,4.21,0,0,0,4.06,0,0,0,0,0,0,2.58,0,12.85,0,0,5.07,25.36,0,0,0,0,0,0,2.96,10.24
