stage,blastomeres,eye,glial,gut,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,periderm,pgc,pronephros
  3-4,19.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,17.87,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0.7
 36-46,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,1.22,1.82,0,0,0,0,0,0,0,0,3.39,0,1.3,0,0
 60-70,0,3.54,3.91,0,0,0,0,0,0,0,0.59,0,0,0,0,0
 72-82,0,1.65,10.13,0,0.55,0.8,0,0,2.3,1.08,2.49,0,0,2.76,0,7.28
 84-94,0,11.92,9.53,0,0,0.62,4.61,0,4.07,0,0,0.75,0,0,0,9.13
 96-106,0,8.31,3.65,0,0,0,0,0,0,0,1.37,0,0,0,0,31.09
108-118,0,45.36,4.5,0,0,2.17,0,4.91,3.05,0,0,9.47,0,0,0,39.31
120,0,26.21,24.06,2.34,0,1.11,0,0,7.5,0,0,37.51,0,0,0,34.86
