stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.57,58.03,0,0,5.94,0,0,0,2.2,0.99,0,0.81,0,2,0,0,0,0,4.36,1.09,0,2.32,135.7,3.33,1.96,5.14,0,163,1.27,1.81,0,8.56,42.32,0,0,0,0,0
 24-34,0.71,3.9,14.16,0,0,14.89,0,0,0,1.72,0.66,0,0.92,0,10.5,0,0.72,0.63,0,24.35,1.68,0,6.96,456.03,2.86,23.31,5.65,0,395.25,0,3.78,0,1.33,143.04,0,0,8.61,0,0.77
 36-46,0,0,50.53,0,0,56.38,0,7.17,0,18.02,2.89,0,0.88,0,0.63,0.74,0.61,0,1.5,17.55,1.5,0,4.95,494.7,10.96,17.58,2.89,0,436.79,0,0.7,6.3,0,135.68,0,0,14.13,0,10.25
 48-58,0,0,34.3,0,0,134.29,0,1.29,2.18,54.32,0.49,0,0.44,0,0.78,0.85,1.79,0,0,44.06,3.52,1.87,10.4,534.48,5.84,23.46,3.36,0,248.24,0,0.55,0,0,97.94,0,0,18.28,0,4.98
 60-70,0.62,0,26.75,0,0,164.14,1.71,17.04,1.34,55.41,10.7,0,9.21,6.15,0.67,0,3.34,2.88,0,51.53,2.41,1.64,7,527.78,10.24,10.89,1.79,1.53,188.59,0,2.64,0,0,83.2,0,5.3,9.19,0,0
 72-82,1.19,0,37.77,9.82,0.59,242.5,0,11.67,0.79,73.86,9.79,0.5,0.73,2.54,7.04,0,9.08,7.04,0,90.57,0,7.59,4.18,575.66,0.73,15.67,9.3,0.71,142.81,0,1.23,0,0,36.37,7.7,0.91,8.52,1.27,4.87
 84-94,5.14,0,54.02,0,0,169.88,0,10.06,0.57,59.91,11.52,0.64,0.8,6.97,7.28,3.07,7.37,1.76,3.53,54.76,1.67,7.95,1.32,334.71,0,25.93,6.79,0,342.13,0,0,0,0,44.88,8.62,0,19.38,1.13,0
 96-106,0,0,84.39,4.5,0,219.48,0,6.48,0,64.88,22.68,0,2.61,4.8,7.99,0.69,5.45,16.19,0,74.77,2.53,2.91,3.68,322.8,0.69,37.5,2.72,1.51,408.88,0,0.7,0.57,0,20.29,11.77,2.42,8.8,0,2.73
108-118,1.56,0,87.76,0,0,121.7,0,7.17,4.17,72.24,21.65,0,1.9,4.06,12.98,0.98,3.52,11.12,3.54,70.91,4.08,4.31,11.47,345.52,0,14.26,3.55,0,272.44,0,0,3.18,0,12.91,29.84,0,11.86,1.69,2.9
120,1.22,0,69.3,17.59,0,138.46,0,5.44,1.6,130.97,36.2,0,0,6.99,16.81,0,7.2,0,0,54.95,1.37,1.38,0,506.91,1.57,37.68,7.16,13.12,315.63,0,0,0,0,22.35,13.52,0,16.06,0,3.85
