stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1.85,1.69,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,4.46,13.37,0,0,0,0,0,1.83,0.91,3.85,0.98,0,0,0,1.85
 24-34,2.12,2.46,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,3.81,19.06,0,1.13,1.03,0,0.67,0,0,0.69,2.05,0,0,5.85,0
 36-46,0.68,0.9,0,12.51,0,5.03,0,0,0,1.15,0,0,0.61,0,0,0,1.58,14.01,0,0.59,0.74,0,1.25,0,0,0,0.87,0,0,1.06,0
 48-58,1.7,2.61,0,0,0,1.16,0,0,0,0,0,0,0,5.81,0,0,2.94,12.38,0,0,0,0.53,1.4,0,0,0,4.38,0,0,3.42,0
 60-70,0,18.94,0,0,2.52,3.35,0.85,0,0,0,0,0,0,8.97,0,6.53,0.72,7.98,0,0,0,0,0,0,0,0,2.62,0,0,1.52,0
 72-82,0,3.59,0,0,1.03,2.34,1.2,0.51,0,0,0,0,0,12.04,0.83,2.13,2.75,24.47,0,0.84,0,0,0.75,0,0,0,4.11,0,0,1.59,0
 84-94,1.3,9.42,0,0,2.71,3.93,1.32,0,0,0,0,0,6.41,15.73,0,0.98,2.65,8.8,0.94,0,0,0,1.62,0,0,0,1.33,0.56,1.08,2.25,0
 96-106,0.95,2.52,1.36,0,2.67,0.97,0,0,0,0.82,0,0.68,0.69,9.02,0,0,1.87,13.21,0,2.27,0,0,1.13,0,0,0,1.32,0,0,0.69,0
108-118,0.96,1.44,0.49,0,0,3.47,0.5,0.47,0.65,0.72,0,0,0.61,23.63,0,3.21,1.05,6.62,0,0,0,0,0,0,0,0,0,0,0.41,8.61,0
120,1.45,8.14,0,0,0,0,0,0,0,0,7.23,0,0,35.16,0,0,0,62.44,0,2.4,0,0,6.31,0,0,0,0,0,0,4.7,0
