stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,14.01,0,22.64,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,147.57,4.65,0,0,56.39,0,0,0,0,0,0,3.28,0,0,0
 14-21,0,0,2.19,10.72,0,2.78,0,0,29.66,0,0,0,0,0,0,4.64,0,0.91,125.24,2.21,0,12.03,1.15,0,1.31,7.2,60.05,4.94,9.49,165.34,0,0.85,0
 24-34,0,0,1.5,2.19,0,3.51,0.7,0,17.85,1.08,0,0,0,0,0,8.31,0,0,113.03,2.77,0.79,1.55,0,0,0,0,22.1,0.95,3.22,44.46,0,1.64,0
 36-46,0,0,0,2.97,0,1.75,0,0.78,23.78,0,0,0,0,0,0,2.07,0,0,58.64,0,0.93,8.43,0,0,0,0,10.18,0,0,31.27,0,0,0
 48-58,0,0,0,0,0,7.26,0,0,22.39,0.49,0,0,0,1.19,0,4.84,0,0,61.38,0,5,1.65,0,0,0.65,0,8.47,0,0,38.12,0,0,0
 60-70,0,0,0,4.43,0,5.55,0,0,16.98,0,0,0,0,2.61,0,22.93,0,1.25,18.93,0,0.95,0,0,0,0,0,2,0,0,22.44,0,0,0
 72-82,0,0,0,2.18,0,5.83,0,0,38.22,1.75,0,0,0,0.93,0,15.33,0.75,1.76,13.63,0,1.79,8.8,0,1.16,0,0,1.36,0,0,3.79,0,0,0
 84-94,0,0.56,0.76,0.66,0,1.61,0.63,0,23.26,0,0,0,0,1.87,0,14.44,0.61,0,13.94,0,1.98,6.04,0,3.08,0,0,5.97,0,0,6.04,0,0,2.36
 96-106,0,0,0,0,1.41,0.72,0,0,17.13,3.5,0,0.72,0,6.25,0,16.12,0,0,14.93,0,3.14,14.54,0,0.65,0,0,1.88,0,0,4.51,0,0,0.75
108-118,0,2.25,0.49,0.42,0,3.05,0.6,0,11.09,0,0,0,1.18,2.14,1.66,19.81,0,1.52,17.3,0,4.71,6.91,0,0.49,0,0,2.99,0,0,2.72,0,0.94,0
120,0,0,0,0,0,3.86,0,0,25.13,2.03,0,0,0,3.51,0,26.5,0,0,30.4,0,0,54.01,0,0,0,0,5.04,0,0,0,1.56,0,1.93
