stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,11.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91,0,0,0,0
 10-12,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,22.2,0,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,12.89,100.02,0,0,0.64,2.61,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,79.38,0,0,0,0,0
 48-58,0,0,0,0,4.89,0.86,0,0,1.26,0,0,0.94,0,0.46,0,0,43.03,149.1,0,0,0.58,3.4,0
 60-70,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,15.44,190.08,0,0,0,0.72,0
 72-82,0,0.76,0,0.78,5.49,0,0,0,2.07,0,0.59,40.96,0,0,0,0,29.5,295.05,0,0,4.58,2.88,6.66
 84-94,0,0,0,0,3.48,0,0,0.89,0,0,2.37,11.04,0,0,0,0,10.17,519.93,0,1.85,0,2.11,0
 96-106,0,0,0,0,7.29,0,0,0,1.48,0,0,62.09,1.06,0.88,1.22,0,26.13,478.89,0,3.21,0,15.2,0
108-118,0,0,1.61,2.59,0,0,0.76,0,1.6,2.09,1.94,20.75,0,2.43,0,1.74,40.74,402.71,0,0.41,0,5.26,0
120,0,0,0,2.63,0,0,0,0,0,0,9.17,25.12,0,6.16,0,0,133.93,771.26,0,1.34,0,0,0
