stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.4,0,0,8.39,0,0,0,0,4.63,0,0,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.05,0,6.57,0,0,7.32,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,16.55,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.5,0,2.79,0,0,0,0,0,0,0.9,3.8,0,0,35.66,0,0,1.05,0,0,0,12.53,0,1,1.51,0,0,0,0,0
 24-34,0,0,0,3.22,0,7.19,0,0,5.26,0,0,0,6.11,13.88,0,0,151.76,1.33,5.19,1.32,0,0,2.47,0,0,0,9.6,0,0,0,0,0
 36-46,0,0,0,0.79,0,0,6.34,0.58,8.42,0,0,0,0,3.99,0,0,259.94,0,6.44,0,0,0,2.65,0,0.62,0,14.97,0,0,0,0,0
 48-58,0,0.4,0,4.81,0,34.58,1.77,1.47,5.31,0,0,0,0,0.52,0,0,194.51,0,3.55,0,0,0,0.42,0,0,0,8.83,0,0,0,0,0
 60-70,0,0,0,0,0,100.88,0,0,7.09,0,0.97,0,0,0.74,0,0,356.04,0,6.25,0,0,0,0,0,0,0,19.02,0,0,0,0,0
 72-82,0,0,0,1.35,0,144.31,0,1.07,20.29,0.76,0,0.55,0,5.5,0,0.96,363.66,0,2.39,0,0,0,0,0,0,0,3.56,0,1.19,0,1.65,0
 84-94,0,1.5,0,1.96,0,74.81,0,0.87,22.31,1.84,0.77,0,0,3.89,0,0,308.31,0,0,0,0,0,0,0,0,0,1.05,1.03,0,0,0.6,0
 96-106,0,0,0,2.37,0,213.7,0,0,12.64,1.06,0,0,0,2.88,4.05,0.81,330.37,0,1.79,1.22,0,3.62,0,0,0,0,1.95,0,0,0,4.76,0
108-118,0,2.18,0.74,1.87,0.53,169.16,0,0,20.72,0,0,0,0.65,7.79,0,0,331.37,0,3.32,1.31,0,0,0.5,0,0,0,2.92,0,0,0.62,8.24,1.42
120,0,0,0,5.24,0,87.17,0,5.01,22.52,0,0,0,0,22.4,0,0,633.89,1.33,0,0,0,0,0,0,0,0,20.62,0,0,0,0,0
