stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.34,1035.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.23,0,0,0,0,0,0,0,0,0,0
  5-6,32.86,499.45,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.7,0,0,4.53,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.12,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.66,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,39.99,16.32,4.9,0,0,0,0,0,0,0,0,0,0,0,17.6,0,0,9.48,17.89,0,0.84,8.64,0,0,2.32,0,0,2.56,0,0,0,0,0,0
 24-34,0,0,2.21,0.59,4.06,0,14.15,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0.64,2.17,0,2.02,1.55,0,1.33,0,0,0,0,1.03,0,0,0,0,0
 36-46,0,0,3.41,0,0.72,0,30.42,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,9.05,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.4,0,0,0,14.94,0,0,0,0,0,0,0,0,0,0,0.51,1.39,0,0,0,11.49,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,2.45
 60-70,0,0,0,0,0,0,357.83,0,0,0,7.35,0,0,0,0,0,0,0,0,0,0,0,16.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.97,0,7.02,0,1477.83,0,0,3.01,7.71,0.53,0.59,0,0,3.21,5.4,0,9.55,1.23,0,0,57.85,0.82,0,6.49,0,1.8,0,0,0,0,3.29,0,0,1.74,0,0
 84-94,0,0,0,0,14.66,1.19,1840.54,0,0,0,2.01,0,0.71,0,1.16,0,0,0,13.36,0,0,0,40.33,0,0,0.65,0,2.63,0,0,0,0,7.34,0,0,0,3.28,0
 96-106,0,0,1.11,0,7.58,4.7,2951.08,8.14,0,8.24,6.94,1.62,0,3.95,0,0.66,7.08,0,19.4,0,0,1.02,90.15,0,0.84,0.77,0,3.61,0,0,4.48,0,0,0.81,0,4,0,0
108-118,0,0,1.56,0,1.65,11.97,2838.62,0.67,2.3,0,6.9,0,0,0,2.69,0.89,5.67,0,24.95,0,1.35,0,89.53,0,0,0.71,0,5.71,0,0.45,0,0,5.51,0,0,0,0,2.28
120,0,0,0,0,4.32,5.84,3124.19,0,2.21,0,13.97,0,0,6.25,0,0,0,0,33.03,0,4.29,1.66,148.17,0,0,5.44,0,7.8,0,2.39,0,0,0,0,6,16.67,1.45,0
