stage,eye,glial,muscle,neural
  7-9,0,0,0,3.69
 48-58,0,0.83,0,0.64
 60-70,5.94,1.62,0,0
 72-82,2.61,8.34,0,0
 84-94,4.06,2.07,0.98,0
 96-106,6.22,9.71,0,0
108-118,16.72,3.11,0,0.79
120,1.48,0,0,0
