stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,430.66,806.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0
  5-6,2502.52,5906.05,56.81,0,0,0,0,0,0,0,543.99,0,0,0,0,0,0,0,0,0,0,667.09,12.13,0,0,41.83,21.59,0,0,0,0,0,0,0,0,0
  7-9,1165.68,666.97,2063.64,0,5.98,6521.08,0,0,0,0,3252.28,0,0,0,0,0,0,0,0,0,0,21273,87.72,0,0,527.34,46.99,10.84,0,0,0,0,0,0,0,0
 10-12,22.26,215.41,330.72,0,38.07,2538.39,0,0,0,0,870.39,0,0,0,0,0,0,0,0,0,0,9456.84,98.24,0,0,137.96,4.05,0,0,12.68,0,3.24,0,0,0,0
 14-21,0,0,0,1189.15,18.98,749.41,0,0,0,0.91,112.91,2.46,0,2.22,0,0,0,65.3,0,0,8.89,4700.34,9.26,12.04,0.97,0.95,9.94,0,4.3,2.1,1.78,12.7,896.11,1.07,0,0
 24-34,0,0,0,190.49,0,418.87,0,0,0.61,4.76,1.34,0,0.98,2.66,0,12.75,0,7.02,4.95,0,10.31,5517.97,2.32,12.38,9.33,0,32.66,0,0,0,0.76,1.23,877.27,8.19,0,0.98
 36-46,0,0,0,46.5,0,177.53,0,0.59,0,166.05,9,0,1.03,0,0,4,0,1.17,1.08,0,1.07,4585.66,0.85,4.81,35.37,0,10.01,0,0,0,0,0,549.4,0.82,0,0
 48-58,0,0,0,34.46,0,190.85,1.02,6.09,0,236.84,1.3,0,1.69,0,6.18,4.36,0,3.41,2.16,0,0.5,2162.5,0,4.82,24.8,0,11.24,0,0,0,0,0,216.58,0,0,0.93
 60-70,0,0,0,33.13,0,112.45,0,0,0,97.88,0,0,0,2.84,0,2.35,0,2.35,0,2.56,0,1030.64,0,1.08,10.85,0,7.04,0,0,0,0,0,72.17,0,0,0
 72-82,0,0,0,33.77,0,104.2,0,0.52,0,108.5,2.86,0,0.59,0.97,0,3.94,0,5.59,0,0.88,0.56,773.62,0,1.69,16.98,0,22.3,0,0,0,0,0,56.35,0,0.77,0
 84-94,0,0,0,43.38,0.96,125.16,0,0,0,51.79,2.66,0,0,0,9.33,4.83,0.96,2.91,5.89,8.07,0,502.93,0,4.69,41.62,0,21.69,0,0,1.04,0,0,29.11,0,0,0
 96-106,0,0,0,39.13,0,92.18,0,0,0,90.61,0,0,0,0.95,0,8.67,0,6.91,8.63,0,0,359.17,0,12.52,36.12,0,25.33,0,0,0,0,0,25.58,0,0.56,1.51
108-118,0,0,0,63.24,0,111.67,0,1.36,0.53,85.27,0,0,0.53,1.1,0,14.16,1.12,6.47,2.92,0.69,1.11,555.48,0,2.64,40.61,0,16.47,0.63,0,0,0,0,10.79,0.99,0,4.06
120,0,0,1.28,40.53,0,124.61,0,1.39,0,173.21,0,0,0,2.33,0,0,0,1.42,13.85,0,0,534.86,2.43,3.22,36.17,0,28.98,0,0,0,0,0,0,0,0,0
