stage,eye,glial,neural,otic,spinal.cord
 24-34,0,0,0,0,2.56
 36-46,0,0,2.15,0,0
 48-58,0,0,0,0,1.41
 72-82,0,0,1.96,0,0
 84-94,0,1.09,0,1.72,0
 96-106,4.12,0,1.72,2.95,0
108-118,0,1.79,1.97,0,0
120,0,0,17.64,1.61,6.18
