stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,87.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.49,92.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0
  7-9,8.31,6.96,0,0,0,0,0,11.24,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,150.03,0,0,0,68.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,0,0,0,0,0,0,0,0,139.71,12.86,0,0,195.24,0,0,0,5.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,30.3,6.92,0,15.64,0,0,0,7.65,0,1.35,0.97,0,1.08,0,0,13.24,0,16.23,0,0,33.24,148.15,47.79,0.86,0.99,5.49,0,20.95,141.18,0,22.97,359.22,51.82,0,0,4.71,0,0
 24-34,0,0,0,0.64,13.9,1.76,0,31.33,0,1.12,0.72,6.38,0.64,6.16,1.02,2.11,0.93,0,0.8,5.04,5.32,48.13,0,0,18.15,251.27,57.44,0.95,1.96,0,0,26.35,0.83,8.13,1.43,18.2,71.81,0,0,2.72,0,5.64
 36-46,0,0,0,0,23.46,0.79,0,15.46,7.89,20.45,0.79,11.96,1.89,0,2.74,0,3.27,0,0.65,22.46,2.2,39.8,5.63,0,14.67,215.76,7.83,0,1.05,0,0,15.39,0,44.85,9.1,0,52.81,0,0,3.12,0,19.86
 48-58,0,0,0,0.51,15,0.68,0,38.94,9,2.32,9.37,21.41,0.64,0,5.82,0,0.97,6.84,0,11.67,0.8,43.21,0,3.45,10.54,142.64,13.02,0.38,0.81,0,0,26.18,0,5.76,5.5,0,48.43,0,0,7.34,0,18.63
 60-70,0,0,0.62,0,9.61,10.5,0,72.33,10.74,0.91,2.14,30.12,0,0,1.17,0.57,0,1.16,0.73,3.48,1.05,93.75,3.43,1.84,7.5,117.65,1.1,3.61,8.77,0,0,4.42,0,13.1,9.16,0,26.6,0,0,0.63,0,7.1
 72-82,0,0,0.49,0,8.85,0,3.61,73.6,19.81,2.76,1.73,56.67,9.07,0,3.71,0.65,2.32,11.72,3.13,16.44,6.71,156.24,0,6.62,7.05,134.97,7.76,3.78,10.64,0,1.78,10.3,0,18.01,3.64,0,13.74,4.48,1.21,7.81,1.13,25.17
 84-94,0,0,1.05,0,21.28,0.56,10.37,66.32,13.34,0,5.32,34.79,10.16,0,2.4,0.77,2.85,1.42,0.59,18.54,0,111.18,1.73,0,8.46,84.11,4.01,8.4,8.6,0,0,16.92,0,13.3,3.45,0,5.22,0,1.37,0,4.05,17.65
 96-106,0,0,0,0,2.88,1.89,9.68,69.44,0,0,1.52,41.75,13.07,0,0.68,1.76,5.21,1.62,4.91,10.33,3.42,119.82,0,3.64,0.97,105.19,0.71,4.66,2.15,0,1.92,31.26,0,14.97,1.7,0,10.2,0,3.46,7.68,0.59,4.11
108-118,0,0,0,0,21.4,1.15,48.27,68.37,7.51,4.38,5.49,88.92,14.53,0,0.51,0.93,0.52,3.89,3.78,40.51,3.45,166.39,8.05,2.94,6.98,130.78,6.92,5.23,12.03,0,2.29,36.01,0,20.28,9.76,0,9.97,1.34,0,7.43,0.49,6.27
120,0,0,0,0,41.61,13.4,11.32,139.1,7.27,2.18,25.79,130.18,36.41,0,24.85,1.06,6.38,23.2,2.53,41.49,9.19,214.15,0,13.02,18.01,333.51,6.09,1.26,19.05,0,0,30.28,0,33.24,7.13,0,17.89,0,0,19.24,3.95,1.16
