stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,234.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36,190.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0
  7-9,27.91,6.43,0,0,0,0,5.67,0,0,0,0,0,11.12,0,0,0,0,0,0,0,166.26,42.59,0,0,118.96,0,0,5.74,0,0,0,0,0,0,0,0
 10-12,3.8,5.81,0,6.79,0,0,19.35,0,0,0,0,0,5.87,0,0,0,0,0,0,0,113.47,18.36,0,0,150.78,0,0,0,4.56,0,0,5.41,0,0,0,0
 14-21,0,0,0,0,7.73,2.38,2.37,0,0,0,2.12,0,0,0,0,0,1.13,5.82,0,11.79,43.77,9.89,0.85,2.37,1.44,0,0,0,6.11,0,0.98,24.36,28.1,0,0,0
 24-34,0,0,0,0,7.09,0,3.62,0,2.74,0.68,0.98,0,0,0,0,0,0,2.78,0,2.57,54.83,1.37,0,0,0,0,0,0,0,0.73,0,5.74,38.04,0,6.4,0
 36-46,0,0,0,0,8.09,0,24.98,0,0,0,4.4,0,0,0,0,0,0,7.73,0,0.91,68.71,2.59,0,1.79,0,0,0,0,0,0,0,0,58.05,0,1.09,0
 48-58,0,0,0,0,2.92,0,135.54,0,6.11,0.47,5.21,0,0,0,0,0,0,18.15,0,3.57,47.91,14.49,0,0,0,0,0,0,0,0,0,0,39.72,1.28,2.19,0
 60-70,0,0,0,0,4.85,0,320.96,0,1.77,0,3.01,0,0,0,0,0,0,34.12,0,0.6,39.56,6.68,0,0,0,0,3.21,0,0,0,0,0,12.38,0,9.09,0
 72-82,0,0,0,0,1.62,0,283.66,0,0.51,1.18,12.5,0,0,0,0,0,0,22.12,1.62,0.81,21.82,2.45,0,0,0,0,0,0,0,0.63,0,0,3.93,0,2.87,0
 84-94,0,0,0,0,1.58,0,205.57,0,8.71,4.01,10.55,0,0,1.27,0,0,0,29.09,0,0,34.77,2.91,0,0,0,0,0,0,0,0,0,0,2.14,0,3.46,0
 96-106,0,0,0,0,0,0,108.32,0,3.86,0,4.88,0,0,0,0.72,4.94,0,26.02,0,0.78,26.1,0.58,0.73,0,0,4.58,0,0,0,1.93,0,0,0,0,5.19,0.59
108-118,0,0,0,0,3.2,0,87.12,0.86,1.74,3.33,9.69,0.62,0,0,0,1.57,0,11.36,0,0.42,38.57,6.78,0,0.44,0,1.89,0,0,0,2.33,0,0,0,1.85,2.08,0
120,0,0,5.88,0,3.19,0,80.31,2.94,2.34,6.64,19.71,9.27,0,0,0,0,0,17.42,0,1.05,92.8,3.13,3,0,0,0,0,0,0,0,0,0,0,0,3.87,0
