stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,113.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.58,0,0,4.66,0,8.05,4.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.98,2.6,1.42,0,0,0,0,0,0,8.12,0,0,0,0,2.4,0,0,0,13.17,0,1.38,0,0,0,0,0.86,0,2.77,0.8,2.65,0,0,2.91,0,1.35
 24-34,0,0,0,0,0,0,0,0,0,3.2,3.3,0,0,0,0,2.39,0,0,1.22,14.48,0,3.7,0,0,0,0,0,0,1.37,0,1.96,0,0,6.24,0,0
 36-46,0,0.77,0.67,3.72,0,0,0,9.05,0,1.49,5.18,0,0,0,0,2.82,0,0,0.6,55.27,0,3.5,0,0,0,0,0,0,6.28,0,4.37,0,0,8.86,0,0
 48-58,0,0,0,4.14,0.52,0,0,21.36,0.49,1.44,1.39,0,0.4,0.48,0,5.52,0,0,2.26,127.6,0,0.46,0,0,0,0,0,0,6.06,0,17.23,0,0,6.33,0,0
 60-70,0,0,0,25.85,0,0,0,16.25,0,2.12,0.81,0,0,0,0,10.94,0,2.09,3.45,202.03,0,0.62,0,3.45,0,0,0,2.33,7.78,0,0.67,0,0,3.42,0,0
 72-82,0,1.57,0,46.25,0,0,0,30.58,0,3.64,9.8,0,0,0,0,20.94,0,2.84,1.51,205.86,0,1.19,0,0.89,0,0,0,0,1.07,0,9.59,0,0,13.46,0.91,0
 84-94,0,0.6,2.1,10.05,0.7,0.62,0.86,15.84,0,1.51,13.05,0,0,0.8,0.69,22.33,0,0,0.67,186.15,0,8.45,0,1.53,5.1,0,0,0.62,2.01,0,2.76,0,0,12.41,7.88,0
 96-106,0,1.32,0.91,10.48,0,0,0,44.79,0,2.63,4.52,1.32,1.8,0,0,11.8,0,1.84,3.3,134.08,0,2.22,0,4.36,0,0,0,0,1.6,0,2.27,0,0,9.59,6.26,0
108-118,0,6.97,0,39.26,0,0,0,17.65,0,6.79,3.53,0,3.22,1.02,0,15.14,1.91,0,0.9,163.53,1.17,0.86,0,3.05,0,0,0,0,1.9,0,4.04,0,7.81,21.28,6.27,0
120,0,0,0,28.68,0,0,0,8.65,0,0,15.88,0,0,0,0,4.99,0,8.78,0,365.49,0,6.08,0,0,12.13,0,0,0,1.22,0,1.95,2.82,0,20.06,4.27,0
