stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,3.33,0,0,0,0,0
 24-34,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,68.76,0,0,0,0,44.6,0,0,0.93,0,0
 36-46,0,0,0.69,0,1.22,0,0,0,0,0,0,0,0,0,1.37,0,0,230.36,0,0,0,0,90.28,0,0,0,0,0.57
 48-58,0,0,11.92,0,17.89,0,0,0,8,0,0,0,0,0,0.72,0,0,645.18,0,0,5.76,0,69.65,0,0,0.77,0,0.54
 60-70,0,0,8.73,0,53.52,0.66,0,0,4.18,0,1.92,0.82,0,0,1.08,0,0.67,984.14,1.38,0,0,0.65,81.84,0,0,0,0,0
 72-82,2,0.75,11.07,0,147.66,0,0,0,15.82,1.49,0,0.61,0,0,15.05,0,1.24,1543.03,1.67,0,0,0,66.9,0,0,1.43,0,0
 84-94,0,1,12,0,79.61,0,0,0,18.15,0.72,1.29,3.8,0,0,0.74,0,0,969.74,1.84,0,0,0,94.16,0,0,0,0,0
 96-106,0,0,15.45,10.74,80.66,0,2.07,0,0.84,1.38,0,1.8,0.75,3.66,5.85,0,0.62,1369.09,3.42,0,0,0,26.47,2.26,0,0,0.64,0
108-118,0,0,3.9,10.14,107.72,2.21,0.7,0.53,9.23,0.52,0,2.13,0,0,6.16,0,0,1156.22,7.23,0,0,0.86,41.55,0,1.74,0,0,0
120,0,0,16.14,0,101.04,0,2.41,0,7.22,0,0,0,0,0,9.73,1.49,3.33,2451.8,11.45,9.21,0,0,50.44,0,0,0,3.36,0
