stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,64.53,801.19,0,0,0,0,0,0,0,0,0,0,0,60.76,0,0,0,0
  5-6,50.75,110.6,0,0,0,0,0,0,0,0,94.02,0,20.35,0,0,0,0,0
  7-9,0,12.9,0,0,0,0,0,7.01,0,0,63.91,0,28.92,0,0,0,0,0
 10-12,0,0,0,9.45,0,0,0,0,0,0,11.49,14.16,35.13,0,4.43,0,0,0
 14-21,0,0,4.98,0,0,6.02,1.34,0,0,4.13,6.6,0,0,0,2.55,1.11,1.53,0
 24-34,0,0,0,0,0,0.78,0,0,0,0,1.66,0,0,1.29,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.61,0,1.18,0,0,0,0,0,0,0.58
 60-70,0,0,0,0,1.02,0,0,0,0.77,0,2.64,0,0,0,0,0,0,0
 72-82,0,0,0,4.05,1.2,0,0,0,0,0,1.77,0,0,0,0,0,0,0
 84-94,0,0,0,0.88,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0
 96-106,0,0,0,5.69,0,0,3.04,0,1.77,0,0,0,0,0.88,0,0,0,0
108-118,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0
