stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.74,312.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0
  5-6,11.39,92.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,0,0,0,0,0,15.21,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,24.79,48.42,0,0,16.89,0,0,0,11.28,0,0,0,0,0,0,0
 14-21,0,0,0,0,47.84,0.82,0,0.94,0,0.95,0,0.91,0,2.21,0,0,0,0,0,0,0,15.35,0,0,17.02,16.89,44.22,0,0,2.67,0,3.66,6.21,0,1.23,14.65,23.97,0,0,0,0
 24-34,0,0,0.8,0.61,32.1,0,0,7.5,0,8.98,4.06,3.67,0,0,7.3,0,1.76,0,0,0,1.09,48.9,0,0.89,42.71,65.45,23.26,0,1.6,0,0,3.44,0,0,0.65,12.95,28.67,0,9.58,0,2.34
 36-46,0,0,0,0,30.48,0,0,16.29,0,0.69,7.34,10.78,0,0,2.24,0,9.55,0,1.91,0,3.21,72.81,0,2.79,22.73,55.27,8.88,3.82,2.67,0,0,28.15,0,2.28,0,0,32.15,0,2.66,0,20.67
 48-58,0,0,0,0.43,12.66,0,0,55.17,0,0.44,8.34,22.61,0,0,0.87,0,0,0,0,1.04,5.63,77.08,1.06,0.87,26.45,58.59,3.4,1.25,1.63,0,0,4.26,0,6.32,0,0,24.08,0,1.13,0,4.17
 60-70,0,0,0,0,5.83,0,0,146.96,0,0.65,13.04,61.02,0,0,0,0,0.67,0.61,0,0,0,107.07,0,0.59,6.78,49.92,0,0,0,0,2.46,8.55,0,0,0,0,10.88,1.93,0.75,0,2.75
 72-82,0,0,0,0,4.03,18.23,0,157.01,0.56,0.99,10.52,208.98,2.07,0,0.5,0,0.63,0,1.33,0,0.51,128.22,0,2.95,7.07,50.36,3.01,0,3.68,0,0,2.3,0,0,0,0,12.53,3.03,0.6,4.06,3
 84-94,0,0,0,0,4.42,1.48,0,138.64,0.56,3.15,5.3,141.84,3.06,0,0,0,1.95,0.62,0,0.56,1.7,87.96,2.02,2.03,10.31,29.33,3.03,0,1.68,0,0,1.5,0,2.8,0,0,7.93,1.74,0,6.26,9.93
 96-106,0,0,0,0,3.28,3.05,0,70.88,0,0,6.82,249.1,2.55,0,0,0,2.57,1.28,0.77,0.99,0,74.33,1.38,3.84,0.89,53.56,0,0,1.33,0,0,0.76,0,0.97,0,0,4.83,2.33,0.73,7.6,5.03
108-118,0,0,0,0,3.45,0.79,2.88,94.12,0.46,0.5,0.98,291.97,2.71,0,0,0.56,1.84,2.38,2.08,0,4.32,80.83,0,0,1.29,67,0,1.02,9.89,0,0,3.33,0,0.61,0.94,0,4.18,1.36,0.59,2.45,1.16
120,0,0,0,0,3.53,3.92,0,74.96,0,0,1.67,145.4,5.39,0,0,0,0,2.83,0,0,8.97,56.12,1.05,15.86,4.84,51.28,0,0,2.49,0,0,0,0,0,0,0,0,2.35,0,11.46,6.12
