stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.82,2.88,42.22,10.22,0,19.95,0,0,56.09,1.58,0,0,0,0,0,0,13.19,0,32.05,0,0,15.65,286.37,7.9,10.2,12.66,14.8,0,0,0.9,55.8,52.44,4.14,16.27,204.22,0,0,0,0,0
 24-34,0,0.59,20.92,0,0,26.68,3.55,0.74,74.83,0,1.15,0,0,0,0,1.24,0.69,1.98,46.41,0,0,24.73,290.55,4.11,68.06,7.25,0,0,0,0.86,0,43.38,0,11.04,189.92,0,0,0.94,0,10.7
 36-46,0,0,6.34,0,0,31.44,2.33,1.29,30.66,0,0,0.65,0,0,0,1.46,0,1.52,44.65,0,0,12.94,233.65,5.53,46.31,3.37,0,0,3.05,0,0,41.7,0,0,119.82,0,0,0,0,2.48
 48-58,0,0,11.93,0,0,34.15,0,2.12,49.51,0,0,0,0,0,0,2.31,0,0,48.46,0,2.13,17.98,111.45,0.81,33.72,5.27,0,0,0.42,0,0,12.22,0,2.82,89.45,0,0.37,0.5,0,8.25
 60-70,0,0,21.7,0,0,60.98,2.27,3.19,66.91,0.58,0,0.9,0,0,0,6.81,0,12.5,57.93,0,6.03,10.01,108.24,1.91,41.38,9.98,0,0,5.44,0,0,7.04,0,0,72.77,0,1.06,0,1.54,10.33
 72-82,1.31,0,9.58,7.63,0,69.77,0.63,1.96,55.91,0,0,0.86,0.69,0.66,0,8.51,0,0,57.74,0,0,5.76,98.19,1.26,43.64,7.85,0,2.23,0,0,0,3.19,0,0,28.13,0,2.4,0,1.51,0.62
 84-94,0,1.01,11.72,13.78,0,72.29,2.37,7.09,46.74,0,0,0,0,0,1.29,5.33,0,4.01,70.22,0.58,4.71,9.19,39.39,1.52,54.96,26.08,0,2.13,1.43,0,0,17.17,0.95,0,28.6,0.6,2.56,0.57,1.44,4.94
 96-106,1.15,0,7.96,4.94,0,51.27,2.8,1.54,55.88,1.42,0,0,0,0.77,1.03,19.82,0,4.4,36.49,0,1.06,1.34,32.27,0.81,65.29,32.66,0,4.28,1.19,0,0,8.39,0.72,0,31.09,0,0.57,0,2.36,3.1
108-118,0,3.17,6.05,0.96,0.86,51.78,0.48,1.58,29.72,1.45,0,0,0,0,2.61,12.22,1.13,2.41,52.04,0,4.15,1.77,62.94,0,46.7,21.79,0,2.66,3.03,0,0,12.94,0,0,15.36,1.08,0.47,1.95,10.93,3.25
120,0,3.17,7.58,0,0,57.73,3.54,0,74.22,2.51,0,0,0,0,0,6.77,0,0,27.01,0,5.91,2.96,26.32,2.06,60.94,12.11,0,4.48,0,0,0,32.79,0,0,7.74,0,4.23,2.66,1.8,4.65
