stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.63,189.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,48.64,357.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.98,8.85,12.21,0,0,0,27.51,0,0,0,0,0,21.32,0,0,0,0,0,0,0,0,0,0,213.53,5.37,0,0,92.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.08,20.45,0,0,0,27.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.6,9.11,0,0,88.51,0,0,0,3.49,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.64,0,0,5.87,0,0,0,1.39,0.81,0,0,0,0,0,0,0,0,8.68,0,1.22,61.45,0,0,0.92,1.32,0,4.33,10.1,0.84,0.82,4.29,24.85,0,0,2.3,0,0
 24-34,0,0,0,4.38,0,0,12.51,0,0,0,4.47,0,0,0,0,0,0,0,0,0,14.68,0,7.49,232.72,0,2.39,0.62,0,0,2.43,0,0,2.98,0.62,59.51,0,0,2.79,0,0
 36-46,0,0,0,3.46,0,0,40.25,0,0,0.84,5.17,0,0,0,0,0,0,1.44,0,0,22.11,1.63,0.63,428.92,1.43,4.81,0.71,0,0,1.7,0,0,0,0,75.45,0,0,0,0,0
 48-58,0.77,0,0,2.28,0,0,78.39,0.43,0,0.98,10.61,0,0,0.38,7.48,4.42,0,0,0,0,14.46,0.7,4.61,439.93,0,3.99,0,0,0,1.76,0,0,0,0,72.8,0,0,4.17,0,5.76
 60-70,0,0,0,2.25,0.66,0,177.98,1.28,1.77,1.32,11.06,0,0,1.6,0,0,2.04,0,0,0,17.28,0,5.58,600.53,0,1.65,0,0,0,0,0,0,0,0,65.73,0,0,4.06,0,2.21
 72-82,0,0,0,4.25,0,0,134.39,0.96,0,1.21,14.6,0.72,0,2.98,0,0,1.42,1.87,0,0,34.62,2.07,1.15,296.44,0,2.24,4.59,0,0,0.61,0,0.97,0,0,36.88,0,0,5.9,0.91,8.06
 84-94,0,0,0,0,0,0,106.72,0,0.63,0,13.92,0.86,0,0.73,0.73,0.83,0.65,0,0,0,21.22,1.58,3.18,250.49,0.67,0,0,0,5.06,4.63,0,0,0,0,44.75,0,0,7.41,0,9.62
 96-106,0,0,0,3.79,0,0,100.33,0,1.26,0.74,24.67,1.69,0,0,0,0,0,0,3.35,0,30.97,6.41,3.3,290.57,0,0.84,3.28,0,0,5.83,0,0,0,0,12.27,1.26,0,1.57,0.64,0
108-118,0,0,0,15.26,1.16,1.16,88.16,0.52,0,1.39,16.49,0.68,0,0,4.65,0,0,0,0.56,4.61,41.96,0,1.84,229,0,1.58,2.18,0,0,7.03,0,2.33,0,0,21.2,0,0.89,6.29,1.72,0
120,0,0,0,1.24,0,0,55.4,0,0,0,50.54,0,0,0,0,0,4,0,0,0,20.99,0,0,245.64,0,2.15,2.87,0,0,1.05,0,0,0,0,10.83,0,0,1.51,0,0
