stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
 10-12,0,5.3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,39.11,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,0.9,0.83,0,0,0,0,0.85,0,0,0,0,0,0,15.75,0,0,0,0,9.57,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,173.26,3.31,0,0,0,29.3,0,0.81,0,0
 36-46,0,0,0,0,0,0,4.83,0,7.68,0,0,0,0,0.61,0,0,570.62,7.89,0,0,0,59.07,0,0,0,0
 48-58,0,0,0,0,0.43,0,33.79,0,8.71,0,0,0,0,0,0,1.37,800.6,1.98,0,0,1.46,84.36,0,0.46,0,0.63
 60-70,0,0,0,0,0,0,66.61,0,14.34,1.05,0,0,0,0,0,1.89,1240.32,0.96,0,0,0,110.01,0,0,0,0
 72-82,0,0,0,0,1.85,0,108.54,0,28.52,0,0,0,0,0,0,3.06,1246.17,6.27,0,4.5,0,74.48,0,0,0,0
 84-94,0,0,0,0,0,1.52,67.78,1.85,29.61,0,0,1.56,0,0.64,0,6.67,926.94,2.43,0,0.89,0,49.93,0.9,0,0,6.59
 96-106,0,0,0,0,14.02,0,72.45,0,17.36,0,0,0,1.08,0,0,13.07,752.46,4.92,1.92,0,0,25.85,0,1.09,0,0
108-118,0,0,0,0,3.81,0,35.46,0,22,0,0,0,0,0,0.56,2.37,735.23,0,0.54,0.47,0,11.65,0.52,0,0.56,4.56
120,0,0,0,0,11.87,0,68.56,0,27.14,7.81,5.05,0,0,2.98,0,32.64,1122.38,0,0,0,0,25.84,0,0,0,0
