stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.13,6.48,115.03,13.46,0,10.57,0,0,0,0.88,4.71,1.99,1.8,22.21,0,0,1.59,1.45,23.87,0,0,21.64,249.78,5.25,0.94,12.06,6.43,0,7.97,0.91,28.02,4.39,5.14,26.95,70.84,0,0,3.99,0,0
 24-34,0,0.59,12.06,1.52,0,19.37,0,0.64,0.86,7.13,0,0.67,0.6,88.86,1.14,10.46,0,4.4,31.45,0.95,0,9.19,179.09,1.55,557.49,7.13,0,0,12.54,0,0,0.64,3.1,2.59,44.1,0,0,16.38,0,1.69
 36-46,0,0,10.86,184.94,0,75.59,0,2.16,4.7,9.98,0,1.2,18.35,149.53,3.4,9.2,0,2.15,53.19,14.27,0,15.5,409.12,1.32,840.5,6.27,0,0,19.66,0,0,0.74,0,0,62.32,0,0,3.76,0.78,12.23
 48-58,0,0,8.28,8.45,0,52.09,0,0.47,3.13,17.08,0,0.97,6.42,81.94,0.96,7.4,1.87,2.72,35.32,4.98,1.66,9.02,174.52,0,480.73,1.04,0,0.85,10.32,0,0,0,0,0,28.56,0,0,0.58,0,10.51
 60-70,0,0,10.62,3.35,0,104.26,0,0,2.11,10.97,0.68,0,5.03,108.62,0,41.99,0,0,37.93,0.85,3.09,2.15,232.8,7.05,529.89,13.6,0,0,14.88,0,0,0,0,0,38.66,0,1.5,2.26,0,6.06
 72-82,1.96,0,14.57,14.27,0,75.92,0.75,0,3.22,20.89,2.17,0.87,2.62,151.98,26.8,109.93,0,0,37,0,2.22,4.36,123.75,0,1104.36,2.89,0,0,7.35,0,0,0,0,0,19.4,1.16,1.08,2.56,0.74,4.82
 84-94,5.29,0,27.6,118.91,0,94.14,0,0.56,0,21.15,4.99,0,8.13,434.6,2.19,296.94,2.85,3.44,52.04,2.52,3,9.47,105.97,0,899.12,9.86,0,0,27.6,0,0,2.59,0.61,0,0.93,10.05,0,9.33,1.36,8.06
 96-106,0,0,82.21,33,0,102.59,1.15,11.09,2.63,23.74,22.85,0.75,14.4,407.77,2.41,435.45,11.88,0,75.16,5.34,0,11.9,152.41,0,2307.92,15.49,0,0,24.05,0,0,7.05,0,0,9.51,5.16,0.66,6.63,2.14,10.26
108-118,0,0,51.16,49.85,0.82,45.52,0.98,1.73,2.92,43.01,5.27,1.23,21.95,535.29,5.11,330.07,14.75,7.02,106.55,14.75,4,9.76,204.53,0.43,1540.43,23.9,0,0.89,26.87,0,0,0.78,1.06,0,0.44,5.02,3.25,13.29,3.39,12.31
120,0,0,103.91,14.95,0,55.92,0,25.08,0,15.62,0,0,11.36,381.35,63.33,414.23,0,0,36.4,1.56,0,0,148.35,1.25,1721.57,4.97,0,0,15.2,0,0,16.75,0,0,0,0,0,6.37,0,0
