stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,624.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.18,0,0,0,0,0,0,0
  5-6,33.86,2459.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.95,0,0,0,103.52,128.09,0,0,0,0,0,0,0
  7-9,48.06,118.73,116.44,0,0,86.29,0,0,0,0,109.28,0,0,0,0,0,0,0,0,0,0,3639.23,98.34,0,0,2005.77,34.37,0,0,0,0,0,0,0
 10-12,0,169.83,153.92,0,11.53,74.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4045.78,19.44,0,0,2153.96,24.83,19.39,224.17,0,51.59,9.85,0,0
 14-21,0,0,8.44,573.05,46.14,16.03,1.07,0,6.73,3.24,6.53,0,0,9.68,0,0,0.88,37.59,0,0,57.62,835.53,2.92,4.07,36.49,60.61,221.02,390.43,9.82,66.62,439.37,383.56,0,3.62
 24-34,0,0,0,44.61,3.74,12.87,0,0.99,14.96,0,0,0,0,8.53,0,2.9,1.41,18.88,2.39,0,11.38,629.1,0.76,19.15,0.79,0,153.83,3.59,0,15.16,55.84,107.53,21.45,4.39
 36-46,0,0,0,8.92,0,27.65,0,0,23.4,0,0,1.26,0,1.59,14.63,0.7,7.13,22.7,0,0,4.17,462.34,0,0.64,0,0,55.8,0,9.52,4.33,0,134.32,18.8,2.66
 48-58,0,0,0,8.76,0,14.64,1.27,0.87,8.62,0,0,2.12,0,0,0,0,0.54,4.93,0,0,2.74,134.43,0,0,0,0,9.78,0,0,0,0,33.15,32.18,14.95
 60-70,0,0,0,2.28,0,10.15,0.65,0,1.71,0,0,0,1.05,0,0.6,0,0,20.25,0,0,0,51.6,0.63,0,0,0,10.57,0,0,0,0,1.31,3.67,0
 72-82,0,0,0,0.71,0,5.07,0.91,0,3.75,0,0,2.56,0,0.58,0,0,0,10.24,0,0,1.08,35.19,0,0.75,0.66,0,0.77,0,0,0,0,1.13,11.34,3.45
 84-94,0,0,0,1.31,0,27.29,0.68,0.61,6.58,1.25,0,0,0.65,1.11,0,0,0,7.78,0,0,0.56,22.55,0,0,0,0,11.32,0,0,5.42,0,1.79,21.89,0.62
 96-106,0,0,0,0,0,4.22,0,0,11.63,0,0,2.14,0.56,0,0,0,0,20.57,0,6,0,32.34,0,2.43,0,0,11.32,0,0,0,0,1.52,17.68,8.85
108-118,0,0,0,0.96,0,12.58,0.45,0,8.54,0,0,0,0.83,0,1.95,0,0,3.4,0,0,0.77,13.37,0,0,0,0,11.72,0,0,0,0,0,10.68,1.85
120,0,0,0,1.15,3.49,6.11,0,0,1.51,0,0,0,0,0,0,0,0,2.16,0,0,0,33.65,0,0,0,0,11.08,0,0,0,0,0,30.4,0
