stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.75,616.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.37,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.33,1126.27,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,29.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,63.34,75.25,0,198.52,0,0,0,67.5,0,0,0,0,0,62.62,0,0,0,0,0,0,0,0,0,0,2322,61.9,0,0,938.09,0,12.57,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,45.32,0,66.45,0,6.22,0,30.07,0,0,0,0,0,11.64,0,0,0,0,0,0,0,0,0,0,1513.9,53.39,0,0,430.85,0,5.07,0,0,44.97,0,0,9.81,0,0,0,0,0
 14-21,0,0,2.39,3.29,16.13,16.6,0,10.29,0,0,0,10.89,2,0,0,0,0,0,0,0,13.74,0,0,11.53,192.34,1.02,1.23,0.85,3.61,0,0,0,10.97,1.83,0,10.25,79.16,0,0,2.17,0,0
 24-34,0,0,0,0.82,9.4,2.29,0,16.95,0,2.1,0.9,20.5,0.67,0,3.24,0,0,2.1,0,1.87,49.76,0,0,22.2,628.05,0,3.19,2.38,0,0,6.17,0,0,0.76,0,4.28,196.88,0,0,8.5,0,0
 36-46,0,0,0,0,3.45,1.17,0,23.54,0,1.53,1.44,77.2,0.59,0,0,0,0,0.66,0,0,51.83,0,0.72,6.01,1225.42,1.44,1.58,5.98,0,0,0,0.73,0,2.39,0,0,313.9,0,0,13.55,0,2.51
 48-58,0,0,0,0,14.44,2.22,0,107.18,2.98,4.02,2.04,141.95,0.49,0,4.28,0,0,0.56,1.02,0.79,74.79,0,0.56,11.8,1559.88,4.93,4.06,11.12,0,0,8.07,0,0,0.74,0,0,357.76,0,0,5.98,0,5.16
 60-70,0,0,0,0,1.15,0,0,157.06,0,0,0.68,215.57,0,0,6.35,0,6.4,0,0,0,43.13,1.14,1.05,35.83,1254.67,0,0,1.65,0,0,0,0,0,0,0,0,251.89,0,0,3.48,0,0
 72-82,0,0,0,0,21.32,3.49,0,155.54,0,0,2.18,333.59,0,0,1.08,0.5,0,0.79,0,0.49,56.16,0,0,5.88,788.92,0,3.53,9.72,0,2.33,0.86,0,0,0.64,3.45,0,171.93,0.87,0.61,6.99,1.8,0
 84-94,0,0,0,0,6.87,0.71,0,163.81,0,0.6,2.86,177.02,0.82,0,3.11,0,7.75,3.11,2.49,1.53,47.62,0,0,3.79,485.98,0,5.12,30.56,0,3.87,4.47,0,0,0,0,0,83.41,0.57,1.22,6.5,0,0
 96-106,0,0,0.63,0,7.53,2.11,0,123.57,0,0.56,1.39,210.42,0,0,2.21,0,0.57,4.91,0,0,32.94,0,0,5.07,303.82,0,2.91,33.64,0,0,6.59,0,0,0,0,0,66.82,0.59,0,3.39,0.95,0
108-118,0,0,0,0,9.08,0,1.14,91.15,0,0,8.43,273.51,0,0,0,3.47,4.86,1.68,0.52,0,40.8,0,0,0,428.35,0,6.01,31.99,0,0,12.44,0,0,0,0.66,0,28.17,1.48,0.99,7.19,2.12,0
120,0,0,0,0,2.74,0,0,104.79,1.61,0,4.23,536.26,12.44,0,8.19,0,0,0,0,0,21.92,0,0,1.99,902.8,0,0,37.78,0,0,3.21,0,0,0,0,0,57.17,6.11,0,10.6,0,0
