stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,presomitic.mesoderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0
 10-12,5.3,0,0,0,0,0,0,0,0,0,0,5.72,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0.93,0,0,5.32,0.87,0,0,0.95,0.92,0.85
 24-34,0,0,0,0,0,0,0,0,0.63,0,0.91,6.92,0,0,0,0,2.28,0
 36-46,0,1.8,0,0,1.18,0,0,0,0,1.07,0,5.63,0,2.39,0,0,4.61,0
 48-58,0,1.38,0,0,0.65,0,0.7,0.39,0.71,1.4,0,3.44,0,0,0,0,0,0
 60-70,0,0.63,0,0,7.58,0,11.51,0.86,3.48,0,0,3.94,0,0,0,0,1.04,0
 72-82,0,0,1.12,0,0.96,0.71,0,0,3.17,0,0,22.06,0,0,0,0,0,0
 84-94,0,0,0,0,5.93,0,0.71,0,7.76,0,0,20.86,0,0,0,0,2.02,0
 96-106,0,0,0,0,4.72,1.93,1.41,0,0,0,0,1.42,0,0,0.98,0,0,0.76
108-118,0,0.76,0,0.43,2.54,1.91,0,0,2.78,0,0.49,6.62,0.85,0,0,0,0,0.57
120,0,0,0,0,0,0,21.51,0,7.66,0,0,12.74,5.39,0,0,0,0,0
