stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,59.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,16.2,0,40.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.45,0,0,0,36.75,0,0,0,0,6.08,0,4.33,0,0,0,0,0
 14-21,0,3.44,2.26,27.53,1.71,7.27,0,2.61,0,3.98,1.21,9.12,0.81,0,1.18,0,0,0,1.07,16.58,0,0,13.1,134.52,9.07,0,0.81,2.2,0,5.5,0.91,17.6,0,17.45,46.45,0,0,0,0,0
 24-34,0,0,1.36,3.99,0.94,9.64,0,2.07,0,3.96,0.67,0,1.18,0,0.6,0,0,0,0,14.64,1.57,1.52,10.02,118.27,2.43,2.88,1.9,0,0,15.3,0,0,0,1.24,20.83,0,0,2.56,0,1.04
 36-46,0,0,0,11.42,0.57,12.02,0,4.83,4.36,12.34,0,0,0.72,0,0,1.11,0,0,0,23.79,0,0,11.48,122.18,3.26,1.12,0,0,0,6.69,0,0,0,0,31.54,0,0,0,0,0
 48-58,0,0,0,10.24,0,26.37,0.94,5.17,4.12,16.54,0,0,1.56,0,0.37,0,0,0,0,25.4,1.09,3.36,5.03,115.62,1.3,2.88,0.91,0,0.59,9.73,0,0,0,0,35.54,0,0,0.93,0,0
 60-70,0,0,0,7.17,0,41.51,1.34,0,6.7,16.57,0,0,0,12.69,0,2.03,0,0,0,40.26,1.14,0,2.27,120.79,4.47,0,2.57,0,0,30.61,0,0,0,0,17.83,0,0,0.72,0,6.15
 72-82,0,0,0,2.35,7.47,52.67,0,0,3.4,36.31,0,0,2.51,4.46,0.7,0,0.68,0,0,99.03,0.77,4.01,9.89,153.17,0,0,5.74,0,0,15.78,0,0,0,0,31.97,0,2.74,3.86,3.76,0.5
 84-94,0,0,0,8.65,7.61,16.09,0,5.93,2.16,20.92,0,2.66,2.51,0,0.56,0,0.83,0,0,72.41,1.34,2.27,10.74,84.88,0,0.76,4.42,0,3.87,49.06,0,0,0,0,11.07,0,3.6,12.37,0.72,0
 96-106,0,0.88,0,6.06,0,16.98,0,4.03,9.42,18.29,0.61,0,2.49,1.04,0.63,0,0.94,0,0,95.7,3.27,5.08,9.8,72.98,0,3.37,7.27,0,3.78,22.88,0,0,0,0,11.1,1.57,2.3,6.16,0,0
108-118,0,0,0.49,14.28,5.63,30.19,0,3.2,7.96,27.78,1.92,0,0.47,1.98,1.74,1.68,8.38,7.77,0,92.48,1.01,3.87,9.88,158.42,0.87,4.59,11.01,0,3.78,25.59,0,0,0,0,3.02,0,1.21,5.19,3.14,17.47
120,0,0,0,18.79,11.48,32.41,0,4.45,0,30.92,0,0,4.91,4.17,0,1.01,1.84,0,0,58.93,3.1,0,3.96,165.44,2.14,0,13.61,0,0,40.82,0,0,0,0,21.3,0,1.32,23.07,4.27,0
